video,turn_index,start,end,topic
COMPACTTV-2023-10-24-C218,0,1.267,251.96800000000002,-1
COMPACTTV-2023-10-24-C218,1,257.859,333.133,-1
COMPACTTV-2023-10-24-C218,2,333.183,454.231,-1
COMPACTTV-2023-10-24-C218,3,454.261,523.178,-1
COMPACTTV-2023-10-24-C218,4,525.089,559.245,-1
COMPACTTV-2024-01-25-C98,0,0.943,85.076,8
COMPACTTV-2024-01-25-C98,1,86.367,145.086,-1
COMPACTTV-2024-01-25-C98,2,145.116,224.346,-1
COMPACTTV-2024-01-25-C98,3,224.821,309.057,8
COMPACTTV-2024-01-25-C98,4,309.087,334.474,49
COMPACTTV-2024-01-25-C98,6,337.686,347.739,57
COMPACTTV-2024-01-25-C98,7,348.0,391.17900000000003,-1
COMPACTTV-2024-01-25-C98,8,391.209,439.21500000000003,-1
COMPACTTV-2024-01-25-C98,9,439.825,536.008,12
COMPACTTV-2024-01-25-C98,10,536.198,589.719,12
COMPACTTV-2024-01-25-C98,11,590.209,638.117,8
COMPACTTV-2024-01-25-C98,12,638.167,679.51,2
COMPACTTV-2024-01-25-C98,13,680.46,733.383,105
COMPACTTV-2024-01-25-C98,14,733.633,742.418,2
COMPACTTV-2022-06-14-C801,1,22.026,89.238,77
COMPACTTV-2022-06-14-C801,2,92.466,243.065,27
COMPACTTV-2022-06-14-C801,3,249.366,270.968,5
COMPACTTV-2022-06-14-C801,4,272.308,310.704,-1
COMPACTTV-2022-06-14-C801,6,318.419,404.27,5
COMPACTTV-2022-06-14-C801,7,408.488,426.806,5
COMPACTTV-2022-06-14-C801,8,427.256,553.187,11
COMPACTTV-2022-06-14-C801,12,577.705,589.9,53
COMPACTTV-2022-06-14-C801,15,616.326,641.1030000000001,75
COMPACTTV-2022-06-14-C801,16,642.97,764.597,31
COMPACTTV-2022-06-14-C801,18,780.222,793.167,47
COMPACTTV-2022-01-27-C897,1,21.781,102.347,-1
COMPACTTV-2022-01-27-C897,2,109.281,124.591,-1
COMPACTTV-2022-01-27-C897,3,125.001,201.618,0
COMPACTTV-2022-01-27-C897,4,203.775,225.99,0
COMPACTTV-2022-01-27-C897,5,228.075,347.978,24
COMPACTTV-2022-01-27-C897,6,349.125,376.55,108
COMPACTTV-2022-01-27-C897,7,377.18,482.776,108
COMPACTTV-2022-01-27-C897,14,521.277,570.712,83
COMPACTTV-2022-01-27-C897,15,570.782,643.896,83
COMPACTTV-2022-01-27-C897,16,646.801,702.534,68
COMPACTTV-2022-01-27-C897,17,703.445,773.3050000000001,0
COMPACTTV-2022-01-27-C897,18,774.944,789.913,21
COMPACTTV-2022-01-27-C897,19,796.229,821.442,43
COMPACTTV-2022-01-27-C897,20,823.025,907.598,-1
COMPACTTV-2022-01-27-C897,21,910.646,926.367,46
COMPACTTV-2022-01-27-C897,22,926.417,987.581,107
COMPACTTV-2022-01-27-C897,23,987.951,1071.497,43
COMPACTTV-2022-01-27-C897,24,1071.987,1183.441,-1
COMPACTTV-2022-01-27-C897,25,1184.391,1260.025,25
COMPACTTV-2022-01-27-C897,26,1261.275,1288.882,-1
COMPACTTV-2022-01-27-C897,27,1289.533,1354.453,43
COMPACTTV-2022-01-27-C897,28,1354.883,1406.479,82
COMPACTTV-2022-01-27-C897,29,1406.509,1417.647,23
COMPACTTV-2022-11-29-C626,0,11.767,50.819,19
COMPACTTV-2022-11-29-C626,1,51.586,69.30999999999999,19
COMPACTTV-2022-11-29-C626,2,69.52,94.03099999999999,19
COMPACTTV-2022-11-29-C626,3,98.579,274.636,19
COMPACTTV-2022-11-29-C626,4,275.026,412.229,19
COMPACTTV-2022-11-29-C626,5,413.218,603.276,19
COMPACTTV-2022-11-29-C626,6,603.966,675.796,19
COMPACTTV-2022-11-29-C626,7,675.826,745.301,19
COMPACTTV-2022-11-29-C626,8,745.871,778.407,19
COMPACTTV-2022-11-29-C626,9,779.899,795.339,19
COMPACTTV-2022-11-29-C626,10,795.409,806.527,-1
COMPACTTV-2022-11-29-C626,12,822.39,887.998,-1
COMPACTTV-2022-11-29-C626,13,888.548,1027.081,39
COMPACTTV-2022-11-29-C626,14,1028.155,1092.426,77
COMPACTTV-2022-11-29-C626,16,1105.217,1231.258,38
COMPACTTV-2022-11-29-C626,17,1231.983,1262.033,-1
COMPACTTV-2022-02-08-C889,1,21.949,104.622,11
COMPACTTV-2022-02-08-C889,2,105.493,189.85600000000002,80
COMPACTTV-2022-02-08-C889,3,189.906,245.441,18
COMPACTTV-2022-02-08-C889,5,245.811,291.303,24
COMPACTTV-2022-02-08-C889,6,292.887,404.036,-1
COMPACTTV-2022-02-08-C889,7,405.456,420.51,-1
COMPACTTV-2022-02-08-C889,8,421.02,530.39,55
COMPACTTV-2022-02-08-C889,9,532.333,560.722,11
COMPACTTV-2022-02-08-C889,10,561.907,575.87,0
COMPACTTV-2022-02-08-C889,12,583.163,595.328,0
COMPACTTV-2022-02-08-C889,13,595.848,610.151,0
COMPACTTV-2022-02-08-C889,14,611.002,627.5120000000001,0
COMPACTTV-2022-02-08-C889,15,628.163,641.423,9
COMPACTTV-2022-02-08-C889,16,641.473,652.731,11
COMPACTTV-2022-02-08-C889,18,660.206,672.284,-1
COMPACTTV-2022-02-08-C889,19,726.6,773.716,0
COMPACTTV-2022-02-08-C889,21,784.978,871.404,-1
COMPACTTV-2022-02-08-C889,23,886.092,905.311,-1
COMPACTTV-2022-02-08-C889,24,905.361,956.471,16
COMPACTTV-2022-02-08-C889,25,957.362,1048.375,49
COMPACTTV-2022-02-08-C889,26,1048.405,1117.365,80
COMPACTTV-2022-02-08-C889,28,1119.656,1128.871,5
COMPACTTV-2022-02-08-C889,30,1130.749,1208.46,5
COMPACTTV-2022-02-08-C889,31,1208.49,1280.46,-1
COMPACTTV-2022-02-08-C889,32,1281.48,1351.311,16
COMPACTTV-2022-02-08-C889,35,1360.037,1371.692,26
COMPACTTV-2023-06-15-C396,0,0.129,171.666,67
COMPACTTV-2022-06-02-C808,1,21.525,59.653,7
COMPACTTV-2022-06-02-C808,3,60.203,89.969,0
COMPACTTV-2022-06-02-C808,4,91.579,138.73100000000002,0
COMPACTTV-2022-06-02-C808,6,144.347,246.317,0
COMPACTTV-2022-06-02-C808,7,248.394,277.048,-1
COMPACTTV-2022-06-02-C808,8,279.77,332.534,68
COMPACTTV-2022-06-02-C808,10,339.349,390.04,90
COMPACTTV-2022-06-02-C808,11,392.164,423.29900000000004,37
COMPACTTV-2022-06-02-C808,12,424.076,511.73,49
COMPACTTV-2022-06-02-C808,13,513.341,522.201,5
COMPACTTV-2022-06-02-C808,14,523.078,587.529,5
COMPACTTV-2022-06-02-C808,15,590.278,609.619,-1
COMPACTTV-2022-06-02-C808,16,611.944,719.82,67
COMPACTTV-2022-06-02-C808,18,733.391,772.824,32
COMPACTTV-2022-06-02-C808,19,772.894,804.347,-1
COMPACTTV-2022-06-02-C808,20,804.377,888.12,-1
COMPACTTV-2022-06-02-C808,21,890.223,1001.562,46
COMPACTTV-2022-06-02-C808,22,1002.612,1044.776,13
COMPACTTV-2022-06-02-C808,23,1044.826,1112.475,-1
COMPACTTV-2022-06-02-C808,24,1112.766,1178.96,-1
COMPACTTV-2022-06-02-C808,25,1179.65,1218.303,-1
COMPACTTV-2022-06-02-C808,26,1218.353,1231.194,55
COMPACTTV-2022-07-19-C777,0,0.369,14.847,0
COMPACTTV-2022-07-19-C777,1,17.877,27.535,-1
COMPACTTV-2022-07-19-C777,3,37.233,46.751000000000005,0
COMPACTTV-2022-07-19-C777,4,46.801,58.262,0
COMPACTTV-2022-07-19-C777,5,58.312,120.59599999999999,0
COMPACTTV-2022-07-19-C777,6,120.646,135.76500000000001,-1
COMPACTTV-2022-12-20-C606,0,11.409,49.948,7
COMPACTTV-2022-12-20-C606,1,50.178,67.70599999999999,19
COMPACTTV-2022-12-20-C606,2,68.156,80.148,-1
COMPACTTV-2022-12-20-C606,3,84.452,203.035,15
COMPACTTV-2022-12-20-C606,4,205.911,286.87,-1
COMPACTTV-2022-12-20-C606,6,289.3,381.891,24
COMPACTTV-2022-12-20-C606,8,385.341,466.894,-1
COMPACTTV-2022-12-20-C606,9,466.924,527.641,-1
COMPACTTV-2022-12-20-C606,10,527.712,537.752,24
COMPACTTV-2022-12-20-C606,13,543.467,574.614,24
COMPACTTV-2022-12-20-C606,16,589.033,628.896,-1
COMPACTTV-2022-12-20-C606,17,630.987,681.375,32
COMPACTTV-2022-12-20-C606,18,682.552,693.901,2
COMPACTTV-2022-12-20-C606,19,700.132,713.912,3
COMPACTTV-2022-12-20-C606,20,713.982,754.997,3
COMPACTTV-2022-12-20-C606,21,755.027,770.388,11
COMPACTTV-2022-12-20-C606,22,778.785,791.657,-1
COMPACTTV-2022-12-20-C606,24,802.451,815.395,8
COMPACTTV-2022-12-20-C606,25,815.425,830.854,-1
COMPACTTV-2022-12-20-C606,26,831.765,849.447,-1
COMPACTTV-2022-12-20-C606,27,850.687,929.28,32
COMPACTTV-2022-12-20-C606,28,930.749,942.5840000000001,19
COMPACTTV-2022-12-20-C606,29,942.634,1059.5,19
COMPACTTV-2022-12-20-C606,30,1060.175,1088.612,6
COMPACTTV-2022-12-20-C606,31,1092.371,1106.725,0
COMPACTTV-2023-05-09-C449,0,1.209,39.664,7
COMPACTTV-2023-05-09-C449,2,46.917,86.85199999999999,5
COMPACTTV-2023-05-09-C449,3,87.382,145.138,101
COMPACTTV-2023-05-09-C449,4,146.141,163.703,-1
COMPACTTV-2023-05-09-C449,5,165.334,225.60600000000002,7
