video,topic
COMPACTTV-2023-10-24-C218,0
COMPACTTV-2024-01-25-C98,0
COMPACTTV-2022-06-14-C801,0
COMPACTTV-2022-01-27-C897,0
COMPACTTV-2022-11-29-C626,0
COMPACTTV-2022-02-08-C889,0
COMPACTTV-2023-06-15-C396,0
COMPACTTV-2022-06-02-C808,0
COMPACTTV-2022-07-19-C777,0
COMPACTTV-2022-12-20-C606,0
COMPACTTV-2023-05-09-C449,0
COMPACTTV-2023-08-03-C331,1
COMPACTTV-2023-01-03-C596,0
COMPACTTV-2022-05-05-C828,0
COMPACTTV-2022-07-21-C773,0
COMPACTTV-2024-01-11-C118,0
COMPACTTV-2022-06-16-C797,0
COMPACTTV-2023-07-27-C340,0
COMPACTTV-2023-11-16-C187,1
COMPACTTV-2022-09-08-C729,0
COMPACTTV-2023-07-13-C357,0
COMPACTTV-2023-05-09-C450,0
COMPACTTV-2023-10-24-C220,0
COMPACTTV-2022-12-27-C601,0
COMPACTTV-2024-03-19-C18,0
COMPACTTV-2023-06-27-C379,0
COMPACTTV-2022-07-28-C768,0
COMPACTTV-2022-03-01-C871,0
COMPACTTV-2023-07-27-C341,0
COMPACTTV-2023-04-04-C488,0
COMPACTTV-2022-03-24-C856,0
COMPACTTV-2023-11-14-C190,0
COMPACTTV-2022-09-13-C719,0
COMPACTTV-2023-01-05-C594,0
COMPACTTV-2023-11-07-C200,1
COMPACTTV-2023-01-12-C585,0
COMPACTTV-2022-06-23-C792,0
COMPACTTV-2022-09-27-C696,0
COMPACTTV-2023-02-14-C551,0
COMPACTTV-2022-09-13-C718,0
COMPACTTV-2024-01-02-C130,0
COMPACTTV-2022-09-15-C715,0
COMPACTTV-2023-11-28-C170,0
COMPACTTV-2023-01-31-C563,0
COMPACTTV-2023-03-23-C503,0
COMPACTTV-2023-01-24-C571,0
COMPACTTV-2022-10-06-C683,0
COMPACTTV-2023-06-06-C407,0
COMPACTTV-2023-10-31-C209,1
COMPACTTV-2022-09-13-C720,0
COMPACTTV-2023-01-17-C581,0
COMPACTTV-2022-04-21-C838,0
COMPACTTV-2023-02-23-C536,1
COMPACTTV-2024-02-22-C61,0
COMPACTTV-2022-06-16-C799,0
COMPACTTV-2022-07-19-C776,0
COMPACTTV-2023-07-11-C359,0
COMPACTTV-2023-03-21-C505,0
COMPACTTV-2023-11-30-C168,0
COMPACTTV-2023-09-07-C280,1
COMPACTTV-2023-08-08-C325,1
COMPACTTV-2023-03-07-C522,0
COMPACTTV-2023-11-30-C166,0
COMPACTTV-2022-01-20-C903,0
COMPACTTV-2023-03-16-C511,0
COMPACTTV-2024-02-08-C78,0
COMPACTTV-2023-03-02-C527,0
COMPACTTV-2022-12-22-C604,0
COMPACTTV-2022-08-23-C743,0
COMPACTTV-2023-08-15-C317,0
COMPACTTV-2023-05-11-C446,0
COMPACTTV-2024-02-20-C63,0
COMPACTTV-2023-01-17-C582,0
COMPACTTV-2022-06-30-C787,0
COMPACTTV-2022-04-07-C846,0
COMPACTTV-2023-06-06-C408,0
COMPACTTV-2022-08-04-C764,0
COMPACTTV-2022-05-12-C823,0
COMPACTTV-2022-05-24-C815,0
COMPACTTV-2022-09-08-C728,0
COMPACTTV-2023-10-24-C219,1
COMPACTTV-2024-01-11-C116,0
COMPACTTV-2022-08-25-C738,0
COMPACTTV-2022-07-12-C779,0
COMPACTTV-2024-01-23-C102,0
COMPACTTV-2022-01-06-C915,0
COMPACTTV-2022-10-20-C664,0
COMPACTTV-2022-09-20-C709,0
COMPACTTV-2023-10-05-C246,0
COMPACTTV-2023-06-15-C395,1
COMPACTTV-2024-01-09-C120,0
COMPACTTV-2022-12-06-C619,0
COMPACTTV-2023-08-01-C334,0
COMPACTTV-2022-12-13-C612,0
COMPACTTV-2022-03-22-C857,0
COMPACTTV-2022-05-31-C810,0
COMPACTTV-2023-06-13-C399,0
COMPACTTV-2023-05-02-C457,0
COMPACTTV-2022-01-20-C904,0
COMPACTTV-2023-08-15-C314,0
COMPACTTV-2022-08-23-C742,0
COMPACTTV-2023-11-07-C202,0
