video,turn_index,start,end,topic
dDdKWm5mcVY0VFU=,0,3.386,56.348,8
dDdKWm5mcVY0VFU=,1,58.702,73.71799999999999,-1
dDdKWm5mcVY0VFU=,2,73.768,99.389,117
dDdKWm5mcVY0VFU=,3,99.419,111.038,8
dDdKWm5mcVY0VFU=,6,128.98,198.025,-1
dDdKWm5mcVY0VFU=,7,199.196,216.354,102
dDdKWm5mcVY0VFU=,8,216.384,227.685,28
dDdKWm5mcVY0VFU=,9,229.673,255.348,-1
dDdKWm5mcVY0VFU=,11,266.685,287.892,-1
dDdKWm5mcVY0VFU=,12,287.943,318.283,8
dDdKWm5mcVY0VFU=,14,327.572,421.608,85
dDdKWm5mcVY0VFU=,15,424.925,440.771,-1
dDdKWm5mcVY0VFU=,16,443.346,472.57,-1
dDdKWm5mcVY0VFU=,17,472.62,485.273,-1
dDdKWm5mcVY0VFU=,18,489.438,500.862,-1
dDdKWm5mcVY0VFU=,20,510.091,534.397,116
TkkzT1JrTjVRaTA=,2,24.003,109.07,27
TkkzT1JrTjVRaTA=,3,110.943,121.32199999999999,12
TkkzT1JrTjVRaTA=,4,121.352,137.976,-1
TkkzT1JrTjVRaTA=,5,138.446,149.756,12
TkkzT1JrTjVRaTA=,6,150.643,169.30100000000002,-1
TkkzT1JrTjVRaTA=,7,170.171,189.917,65
TkkzT1JrTjVRaTA=,8,190.8,201.347,-1
TkkzT1JrTjVRaTA=,10,210.53,242.156,120
TkkzT1JrTjVRaTA=,11,242.246,267.158,120
TkkzT1JrTjVRaTA=,12,268.212,289.98900000000003,66
TkkzT1JrTjVRaTA=,13,290.699,313.017,120
TkkzT1JrTjVRaTA=,14,313.047,330.546,-1
TkkzT1JrTjVRaTA=,16,341.963,391.11,-1
TkkzT1JrTjVRaTA=,17,392.638,415.474,83
TkkzT1JrTjVRaTA=,19,422.006,453.16700000000003,83
TkkzT1JrTjVRaTA=,20,453.577,464.059,7
TkkzT1JrTjVRaTA=,21,464.594,485.979,27
TkkzT1JrTjVRaTA=,22,487.945,574.466,41
TkkzT1JrTjVRaTA=,26,599.037,666.517,-1
TkkzT1JrTjVRaTA=,27,669.168,700.701,17
TkkzT1JrTjVRaTA=,28,702.412,796.682,17
TkkzT1JrTjVRaTA=,31,813.236,852.33,17
TkkzT1JrTjVRaTA=,32,854.106,904.273,17
TkkzT1JrTjVRaTA=,38,928.789,941.775,7
TkkzT1JrTjVRaTA=,42,963.155,977.961,0
TkkzT1JrTjVRaTA=,43,979.753,1004.986,0
TkkzT1JrTjVRaTA=,44,1006.292,1027.131,0
TkkzT1JrTjVRaTA=,45,1027.701,1049.733,0
TkkzT1JrTjVRaTA=,47,1060.053,1083.038,0
TkkzT1JrTjVRaTA=,48,1085.536,1122.469,0
TkkzT1JrTjVRaTA=,55,1160.578,1176.9180000000001,14
TkkzT1JrTjVRaTA=,56,1192.849,1262.309,5
TjNOUExSWlhTY0k=,0,2.632,33.553000000000004,-1
TjNOUExSWlhTY0k=,1,33.603,62.394000000000005,-1
TjNOUExSWlhTY0k=,2,63.895,90.30499999999999,16
TjNOUExSWlhTY0k=,3,92.691,120.63499999999999,-1
TjNOUExSWlhTY0k=,4,120.685,138.044,116
TjNOUExSWlhTY0k=,5,139.025,182.657,116
TjNOUExSWlhTY0k=,6,185.138,208.20700000000002,116
TjNOUExSWlhTY0k=,7,209.197,251.464,116
TjNOUExSWlhTY0k=,8,253.454,280.199,116
TjNOUExSWlhTY0k=,9,282.231,308.747,116
TjNOUExSWlhTY0k=,10,311.304,341.45,116
TjNOUExSWlhTY0k=,11,343.053,395.504,116
TjNOUExSWlhTY0k=,12,396.218,428.892,116
TjNOUExSWlhTY0k=,13,428.942,450.319,116
