video,topic
dDdKWm5mcVY0VFU=,3
TkkzT1JrTjVRaTA=,0
TjNOUExSWlhTY0k=,1
RFJHZkVRMkFxNDQ=,-1
Q0U5bml5TVgzQTg=,0
azdxY0d5bi1YTVE=,2
a3BSdWd0SUlfMEE=,0
T2ZmaHdqQndhSFE=,2
U1p5TW1rdjU1bEU=,2
UjNCNEFkUUZkRTA=,0
SzltWnJGNkpEWlk=,0
MExUbHZXclJLM2c=,3
YWdUdlFfekJ1Rzg=,0
TXl2WTdFRUI3aWc=,0
bWFzLXpaaDJsMm8=,2
ZTdUeURfU0dmemc=,3
MnF4aEtnLTdMdHc=,1
eGxEeGFMb05sUVU=,0
aTZxRW9zQTRfdFE=,1
V3hFU1o3YmE1b3c=,-1
NkF4Y3dwb3ZjYkU=,2
ZzRFZFk0alQ5cnM=,0
VDgyNFV5M3k2Sjg=,2
RVlmM1VNeXBkeFE=,0
WVk1TXlJSnl5YkU=,0
Q1ZCN2paVEtHOTg=,0
RG1VWEFpczktbm8=,2
QnRzQ09ieV84b1E=,3
M1ZudUpacHJLcEk=,0
VmdXWmpkZlNtdm8=,1
cXRIQ0dUa2lLbVE=,2
M1c5RzBmeTY1Zm8=,0
UUNVZGNTUXVlSTg=,0
clBpeS1OMVRPSVE=,2
bUo3c0x1QV9RMlk=,0
XzY4dW5NUHB4dnM=,1
VjVwSnltOFdfMjQ=,0
bDJNU2c1VnJwaVk=,0
ai1Jc0lFMEM0M0k=,0
VFBHbmVvMWtaZHM=,3
Rnc4Nl82cXJMQzg=,0
dThwd2duSlhfNFE=,0
WUU4a2RhRVV5NjA=,0
aEk0Y21sdmpRY3M=,1
Z2w5Ry1EMFlsOFE=,0
QUJ1TG9RZkctVlU=,3
MjRSSkZaM2c1NGc=,0
a3VqWE5DMDlYbms=,0
TWFrdDRhaTlWWHc=,3
ZEw5NkNjMXZlV00=,1
QW5lc3BzNjc0VnM=,0
a1R2X1BLNVR1R0E=,1
OWFDZkw3Q3ZVTDg=,0
TndsRVVBWFBwMVE=,2
ckM5bF80RC1mUEk=,2
RmNCQlhSalJXZ3M=,0
bjNiUDZVYnlvWG8=,0
b01IQTFaU0ItQWM=,1
YVgtRGdGYTFXTGM=,0
WERHeVBLRllHTzQ=,1
S296V05PZlZhcTg=,3
bnpTWktrOWM2YXM=,0
MUdlOXU2TG1LZ2M=,0
Z0x1QmJvMmlxb1U=,0
dE1uVXdTcTItSjA=,0
MWk1UklfeU9qczg=,0
dWN1MDdKR0ZoVDA=,0
X19kdEwzdjhGeVk=,0
NzhaTklsVTM5c2c=,0
d1N6by1fZzhrWFk=,0
NXk5NXJIRkxnNFE=,0
RXZjZGhhdF9ycWM=,1
YlZuUTRObC03a0k=,0
R1BGbHVDZF9iTWM=,1
WTc1S2MyaVF1TFE=,0
SFk4MVR0c09KZEE=,3
dUVBNkw0TTFNQU0=,0
U1FrWVZVMkIxVkU=,0
QTZBdkstVzFVbUk=,3
OVVoZmh2a3RhZkE=,0
MWtkb2FORGVwamM=,0
VFFiaGhmOVlnZVk=,0
X2ZsYUVlNDl0aHc=,2
TTlic3BqWUNkNTA=,2
TWgwTVlfbTBFRDQ=,3
ZUQ4cWR5OTV0RGM=,0
NGxhUF9mckJvQ2c=,1
R1hkYm5WQzZxWW8=,2
ME9Hc3lFSEc2Y0E=,0
UndQNWJpS0w4Y1E=,0
bzdKQ1BzY0RDYXc=,0
YTRjRXVmSmNCSVk=,2
UFBMOEhDTjdIWEU=,0
LXdYQW1EX2MzZDg=,0
UFdFcGtWaG1nUkE=,0
dnVmVkFnTndONXM=,1
UEx3SXpPMkc1ejQ=,0
a2g4cktXYnpLb2M=,2
a2lJd1VYMzZOaVk=,1
R1FRZG11UFhtS1E=,0
dXVXR1ZieXBrUlE=,0
bU5EOFVoZXNoQVE=,2
ajRZMUpQZGplZFE=,3
bnFKMVNvVk1QZnM=,0
R3kxVGtNQ0VxQVE=,0
ZjZzendHVlhhLW8=,-1
dDM4VlEzbFRJMWM=,1
RTUyM2VrZTFqckE=,0
YVNwUEo3NnB4NlE=,3
S1lBMC1xbTZ3TXM=,0
ekNyY3lwUko1OTA=,0
N0VTUm1QZk5IQmc=,-1
UmdESzNDVXhoaFU=,1
cWlFWnREQmZjYUE=,0
d0ZkNkR1YlZTNzg=,0
V0ljeHB6UXFSTkk=,0
RVlSMVNVTHltWmM=,-1
RWFNMl9hMXAwUzA=,2
SlFBZjZMSGwzYVk=,1
dENXZGJTWVhwd1k=,0
ZHNMbWFrOTgxVEU=,-1
Z05rTGtDaXktZVU=,0
Z0xlQ2t0VzdVZVk=,1
TzZvUXBZa21FUUE=,1
WF9ZUWNWbXc4N3M=,0
XzN1Wm0wVFFvSDA=,-1
TFhfWG5HdmVHQU0=,1
TnpkWWozZWNTSnM=,0
Q1oyYnB1QzhaWWs=,2
MUt6UGFHNXNkWlU=,1
LUhXTjlRZnVQbnM=,1
dlJpMDdDWTJTVUU=,0
alBjOUFKd3REa00=,-1
cVo3OHRSVjl2VjA=,0
dGtjb2xnVjF3cEE=,0
OUdMSkpLbXMxZkE=,3
TXU0SFMxUkk1bkU=,0
eWdrSVA5YnM1NFU=,-1
UnBMS01DSm83dDQ=,0
WmlvOEtaNEYzRnc=,-1
NzZQdlRIdVNsd28=,0
eVRzME5RdzlCLW8=,0
VjdYZHFnd3pfTlE=,1
OGpiU2JVbExvWk0=,0
TGZBaUJ6R0tyX3c=,0
TVRGTVR3RGhPRlk=,1
cjZPWWZHaWljSXc=,1
b2tySmdPSWtqVVU=,3
SVBGd1RBeVdaSDg=,0
a0toRUp1b1dPMWs=,0
V0FJNWlQa3RlaDQ=,0
Q0ZicXdnS3ZRa2s=,0
TG90VlpGdnRtTEU=,0
S21ETUFyRW1TSlE=,0
LVlpay1xSFhhcGc=,0
TW1QcG1oWDdRLUE=,0
SjRrZWNteWdkT1k=,1
WW5Bdkk2aVR4QlU=,2
Wi1iRFFaemliSHc=,0
SG5Da0o3ZVI5b3c=,0
MUE0ZEpfcDJRSk0=,0
YVhldmd4T21OSkk=,1
OW5lcERoRTF5S0E=,0
YVJoOHJCbkVhZEk=,-1
eWNFbUxJeEUySTA=,1
bmFmb01ybUd0bFU=,2
Rm50WDVLbUY1THM=,0
TEowUmpZakJ4UWM=,0
SlBZT0xCZEJvVEE=,-1
OFp4MGYxVkI5YkU=,2
WmRjT3pOeTdNbms=,1
M282cHQ4Z0E2M28=,0
dTZ5UmpxZmJHT1k=,0
bWhQTDlxV2RObEE=,0
REhjRFF3Ym91VVk=,1
NFNjZDNyNUF2dlk=,2
QWE1MUxVT00xaHM=,1
NHhRT1lrWmlLZ1E=,3
UGRWbTQ0bHZZd1U=,2
b3pyNmI5TVhremM=,1
eEMwb25ILVNyc00=,3
LW1uMWtscXJYUkU=,-1
