video,turn_index,start,end,topic
TV-20220118-1805-1800.webl.h264,1,15.333,49.338,137
TV-20220118-1805-1800.webl.h264,2,51.375,78.601,137
TV-20220118-1805-1800.webl.h264,4,93.196,111.514,17
TV-20220118-1805-1800.webl.h264,5,111.544,125.229,-1
TV-20220118-1805-1800.webl.h264,6,125.786,151.411,137
TV-20220118-1805-1800.webl.h264,7,153.044,215.43800000000002,110
TV-20220118-1805-1800.webl.h264,8,217.249,240.12300000000002,3
TV-20220118-1805-1800.webl.h264,9,240.914,257.394,3
TV-20220118-1805-1800.webl.h264,10,257.445,284.958,3
TV-20220118-1805-1800.webl.h264,11,285.789,305.826,3
TV-20220118-1805-1800.webl.h264,13,315.881,413.07300000000004,3
TV-20220118-1805-1800.webl.h264,14,415.103,426.158,94
TV-20220118-1805-1800.webl.h264,16,440.336,455.95,84
TV-20220118-1805-1800.webl.h264,17,456.22,467.414,-1
TV-20220118-1805-1800.webl.h264,19,480.55,492.567,70
TV-20220118-1805-1800.webl.h264,20,493.226,513.155,-1
TV-20220118-1805-1800.webl.h264,21,515.16,569.992,-1
TV-20220118-1805-1800.webl.h264,22,572.191,586.041,-1
TV-20220118-1805-1800.webl.h264,23,587.518,603.8340000000001,19
TV-20220118-1805-1800.webl.h264,24,603.884,630.617,-1
TV-20220118-1805-1800.webl.h264,27,649.218,671.667,125
TV-20220118-1805-1800.webl.h264,28,673.849,712.167,16
TV-20220118-1805-1800.webl.h264,29,714.853,779.962,13
TV-20220118-1805-1800.webl.h264,30,780.012,796.178,16
TV-20220118-1805-1800.webl.h264,32,808.783,836.502,-1
TV-20220118-1805-1800.webl.h264,33,838.405,883.05,1
TV-20220118-1805-1800.webl.h264,34,885.166,904.425,2
TV-20220303-2020-5400.webl.h264,1,18.923,53.589,0
TV-20220303-2020-5400.webl.h264,2,55.779,112.31299999999999,0
TV-20220303-2020-5400.webl.h264,4,118.067,174.22500000000002,-1
TV-20220303-2020-5400.webl.h264,6,181.463,234.589,-1
TV-20220303-2020-5400.webl.h264,7,235.659,246.297,151
TV-20220303-2020-5400.webl.h264,8,249.931,291.363,0
TV-20220303-2020-5400.webl.h264,9,291.413,323.462,17
TV-20220303-2020-5400.webl.h264,10,325.237,344.237,-1
TV-20220303-2020-5400.webl.h264,11,344.267,356.558,17
TV-20220303-2020-5400.webl.h264,12,356.668,379.267,17
