video,turn_index,start,end,topic
ZGhyWndIYld4cEU=,2,7.67,26.663999999999998,-1
ZGhyWndIYld4cEU=,3,27.193,100.55799999999999,-1
ZGhyWndIYld4cEU=,4,100.879,123.30799999999999,21
ZGhyWndIYld4cEU=,5,123.843,139.041,-1
ZGhyWndIYld4cEU=,7,141.172,202.572,4
ZGhyWndIYld4cEU=,8,203.968,223.036,5
ZGhyWndIYld4cEU=,9,223.166,300.18,21
ZGhyWndIYld4cEU=,10,300.21,309.707,-1
ZGhyWndIYld4cEU=,11,311.045,346.368,-1
ZGhyWndIYld4cEU=,13,350.319,377.60200000000003,21
QURob29DMDhuZmc=,0,0.449,15.307,-1
QURob29DMDhuZmc=,1,19.025,42.918,-1
QURob29DMDhuZmc=,2,44.172,52.005,-1
QURob29DMDhuZmc=,3,55.456,73.393,-1
QURob29DMDhuZmc=,7,84.735,105.43499999999999,-1
QURob29DMDhuZmc=,8,106.903,120.11699999999999,-1
QURob29DMDhuZmc=,9,123.696,158.88500000000002,-1
QURob29DMDhuZmc=,11,166.798,221.288,-1
QURob29DMDhuZmc=,12,222.722,236.38,12
QURob29DMDhuZmc=,13,240.38,279.385,14
RVVIQlZWSmlzckU=,1,23.806,189.952,11
RVVIQlZWSmlzckU=,2,196.611,471.92,11
RVVIQlZWSmlzckU=,3,475.324,701.873,11
dU93cW1GcnJBR2M=,2,6.913,21.453,5
dU93cW1GcnJBR2M=,3,22.148,42.029,28
dU93cW1GcnJBR2M=,5,48.605,94.173,28
dU93cW1GcnJBR2M=,6,94.203,104.259,18
dU93cW1GcnJBR2M=,7,104.289,109.963,-1
dU93cW1GcnJBR2M=,11,121.576,151.54500000000002,18
dU93cW1GcnJBR2M=,14,164.524,181.625,18
dU93cW1GcnJBR2M=,15,182.035,233.229,18
dU93cW1GcnJBR2M=,17,238.843,304.579,5
dU93cW1GcnJBR2M=,18,304.609,312.705,11
a3p3RHdQLXJaWVE=,2,11.469,25.685,2
a3p3RHdQLXJaWVE=,3,28.448,68.892,15
a3p3RHdQLXJaWVE=,5,76.091,117.213,-1
a3p3RHdQLXJaWVE=,6,118.109,136.453,2
