video,topic
ZGhyWndIYld4cEU=,0
QURob29DMDhuZmc=,2
RVVIQlZWSmlzckU=,0
dU93cW1GcnJBR2M=,3
a3p3RHdQLXJaWVE=,0
OFMtbjRBM3JkTVk=,3
Zzh3OVdnNlN6RWs=,0
VVkwaXRMNFZSMFk=,0
Q2oxRGQ4LVFlU2s=,0
SUpUcWc1OXhPMTA=,0
c1MzOVVhbWxmaTg=,3
bU4zN09RNURUdnc=,0
Sk9jNzdiZi0tNjQ=,0
U28tYjZBMmxOQVk=,3
Q2RiRDF6eThNeUE=,1
aWgza1JMdjJWXzg=,0
Q1oxQlZKek92UEU=,1
OU5wdHFsRTRKaTQ=,0
cHFUZ1ZUZm10Skk=,2
Zi0tLVhUMVRJMWc=,1
eWFydk5iMGE5eDA=,0
MEs1UmI3d3llcm8=,3
ZThKTlQxc2ZwdkE=,0
MTVpSl9DMHhqYjA=,0
TG0tbUhCczhIY0k=,-1
YlZ5TF9JNXYwUnc=,0
ZHZ6LXpWS0EzV2s=,0
REJSOTVWRkVnS1U=,3
a1RnQnhPQURoQnM=,2
VzVnUDdxd3lFbXc=,2
NGlOQUdZeC1MdlU=,1
YnhaQWlmM3pxYUE=,1
emFWc0xxdktJb1U=,1
Wkl0QzIwTzFacVk=,1
RGpXVW90cTdQWDQ=,0
THlyODhPSDU3aW8=,1
RUNKMVpjNHdObms=,0
U2pRMWlRRGFqNVk=,-1
YVRSSDcteGEwSkk=,0
SmItM2VkSFU2Rjg=,3
eWRCSE9DU1lyS3M=,3
MzI4NGxfMmtuMUU=,1
RUF0TGkwZFBfR3c=,0
YURxWV92T0dvUlk=,0
RUVjMlRMT0lMVTA=,0
U1A0WGtqUEQwT0U=,0
NDQ3RUJUczRkTE0=,3
c0FiRGkyUE1ucVE=,2
SnZLM0c0eDBpTmc=,0
a1NVVFM0SVBOXzQ=,1
MFFLN3ZHNTExS0k=,1
aWNFTV8tVjlhYVk=,3
NHNNSGZJZjBqZkk=,2
WDd1OXVwa0hyb1k=,3
U2ZTcE5ISWIxRFk=,1
cGw0ZlRuTWgtMzQ=,0
UDhjbWtJSmlyS00=,-1
V21mSTc5dWdrLVE=,0
UFVQaUVYZzFfT2s=,1
SFpELVZxakZzMHc=,2
S1JYWUhrbnVJUUE=,0
SVdhN3lPWHBPRUk=,0
NEhXVHRLTlpPbnM=,0
MEgtekJiLS1qS2s=,2
c2x6bHQ0M09HU0k=,0
elpFTW8tZDR3RjA=,3
R0xzM2FVVE9sc00=,2
WHR3U1JiZlpOQ2c=,0
QnZjT2UyT3NMUmM=,0
NUdaaFVSYldxckU=,1
YjFPY1RjRHlUZ3c=,1
b2dROUVSa1Nhbms=,2
MXRFVWZfT0JwNG8=,0
bXMycG1UdEE2TFk=,0
am9YelFHbTR6cnc=,0
ck1oWXdLRGFqRUk=,3
b2VIbDR2aDd6ODQ=,0
bmRoUUM1cG9pTVE=,0
eXZQeDdqUzJYbkE=,0
bkQxaEFJRGxTUjg=,1
dHR6djBqMTB0cmc=,0
cXZHdjRoVkt5Ymc=,3
bjRnQWhzNWJQa3c=,0
YXNqVTQtVWdMbVE=,0
Nmlva1ZsQ19lZVU=,1
eW45NUMxUWtxY0U=,1
VWwzV3VhOWVSYXc=,0
OEhZSDVZalFCUjQ=,0
US1tVmF0VXQ3QTQ=,1
TVRib3QzVGQwbkE=,0
Y1pwMl92ZTlaTGM=,1
bGhBajVlc1hFemM=,0
QjZRTGhBbDQwb0U=,2
WUFhN1hQc1JuaFk=,0
ZHNNclRBcUcwSEU=,0
TTVqN1JwNnNrOGs=,1
a3k4Y1FpM2tTdzQ=,2
UFhkM09jTTFzMFk=,2
b1ZXNHVfeWRkZ2c=,1
d0s3YUkyWGZBQzA=,1
cWdHdUttV2Q1eGc=,2
ZE9vYlJDTGd4YXc=,2
RkJTWUxjTVZJcjQ=,1
dHQweEI5U1YwUUE=,2
UzB5ZE1aRThmUWs=,2
Mzh4dlhuWjh2dmM=,0
dkZsU1hNMzJ3QXc=,0
UU90aGsxSzlOdkU=,0
ckhodDNLVEN3Ykk=,3
V0ZPam44WENtNjQ=,1
Y3hGbjZvMUJKcEk=,0
dFcwUlRsam5qdlU=,0
aHlRcmx5eTU5bWs=,1
ZVhvU3kzbXI5bnM=,0
TGYxaGxjaHdHMDQ=,0
d3JWUy1PdmFUTTA=,0
MXI4emN2VnZpVE0=,0
TkJpc2ljbGJpV2M=,2
UThlbHdKeFh4WE0=,2
RUJSejhfQ1ozc2s=,3
UE1ValZEMThzRWc=,1
dUJoemRydy12Wnc=,1
UXI5V0dVRG9naVE=,-1
M3pCV0NQRkVhejg=,0
X09CWEJscERCSVE=,0
Zl9NWVBsUHlTLWM=,3
T0VQVGpBbDNpTGc=,0
SUVHS2pqclRyQ3c=,3
SGdoSEY2MzJRSk0=,1
ZFJBd2ptOGVVcGs=,0
Y3Jwc0RFaWxGblU=,1
akMyeFVkVGpxU0E=,0
RGpKdDhvekh6QU0=,3
