"holding things","Does this photo show people holding something? Please answer with yes or no!"
"walking","Does this photo show people on the streen? Please answer with yes or no!"
"crying","Is there a person crying? Please answer with yes or no!"
"laughing","Is there a person laughing? Please answer with yes or no!"
"smiling","Is there a person smiling? Please answer with yes or no!"
"fighting","Is there a person pushing another person down? Please answer with yes or no!"
"shaking hands","Are there people shaking hands? Please answer with yes or no!"
"clapping","Is there a person clapping hands? Please answer with yes or no!"
"waving","Is there a person waving the hand? Please answer with yes or no!"
"pointing","Is there a person pointing something? Please answer with yes or no!"
"dining/eating","Does this photo show people in a restaurant? Please answer with yes or no!"
"drinking","Does this photo show people drinking in a bar? Please answer with yes or no!"
"vaccinating","Does this photo show a doctor vaccinating a patient? Please answer with yes or no!"
"talking/speech","Is there a person using a microphone? Please answer with yes or no!"
