Andrea Kiewel	Q494201
Vladimir Putin	Q7747
Annalena Baerbock	Q564328
Igor Lavrov	Q360534
Marta (footballer)	Q228616
Joe Biden	Q6279
Martha (opera)	Q168488
Vitali Klitschko	Q31919
Wolfgang Ischinger	Q177593
Friedrich Merz	Q566257
Pyotr Lavrov	Q337628
Saint Sebastian	Q183332
Carl Adolf Georg Lauterbach	Q72821
Thomas Fischbach	Q122703396
Julian (emperor)	Q33941
Peter Thiede	Q324605
Ilka Semmler	Q106179
Leonid Brezhnev	Q765165
Nikita Khrushchev	Q35314
Helmut Schmidt	Q2516
Intercontinental ballistic missile	Q177471
Mark the Evangelist	Q31966
Peter Hell	Q51885900
Deborah Sasson	Q1181596
Jan Schäfer	Q90756
Thomas Haldenwang	Q57997565
Markus Söder	Q50664
Hendrik Wüst	Q1387541
Joachim II Hector, Elector of Brandenburg	Q506527
Carsten Linnemann	Q1045606
Felix Linnemann	Q98096
Robert Habeck	Q109943
Till Lindemann	Q154852
Andrew the Apostle	Q43399
Klaus Stöhr	Q1399285
Georg Stöhr	Q5535825
Paul Ronzheimer	Q47199975
Olaf Scholz	Q61053
Hello (Adele song)	Q21172725
Kari (moon)	Q18236
Julius Paulus Prudentissimus	Q248628
Wladimir Klitschko	Q18797
Gerhard Schröder	Q2530
Sandra (singer)	Q76901
Thomas the Apostle	Q43669
Thorsten Schmitt	Q569878
Nicole (German singer)	Q236061
Jacqueline Richard	Q16958474
Johann Wolfgang von Goethe	Q5879
Michael Kretschmer	Q1928299
Charlie Walters	Q5085667
Christian Lindner	Q85806
Jens Weißflog	Q161339
Nathalie (song)	Q3336529
European eel	Q26387
Hans Kluge	Q86818696
Alexander Kissler	Q1557005
Heinrich Fiechtner	Q23561140
Martin Müller	Q1028067
Marco Buschmann	Q1893672
Johannes Kahrs (politician)	Q96820
Felix Hufeld	Q19279531
Mateusz Morawiecki	Q11771436
Christa Luft	Q88304
Boris Becker	Q76334
Novak Djokovic	Q5812
Ladislav Novák	Q526127
Historical Jesus	Q51666
Slobodan Milošević	Q47139
Ratko Mladić	Q93167
Josip Broz Tito	Q9161
Matteo Salvini	Q1055449
Lothar H. Wieler	Q43331181
Boris Pfeiffer	Q893754
Christian Görke	Q1080069
Linda Thomas	Q28309086
Mark Antony	Q51673
Daniel Elkins	Q25452139
Lars Klingbeil	Q1806261
Leni Riefenstahl	Q55415
Georg Büchner	Q154014
Helge Schneider	Q76490
Paul Klemm	Q55098560
Jens Stoltenberg	Q57665
Giorgia Meloni	Q451791
Terminal (electronics)	Q182610
Jürgen Elsässer	Q95243
Seymour Hersh	Q435792
Donald Trump	Q22686
Sam Harris	Q296047
Elon Musk	Q317521
Ronald Reagan	Q9960
Robert Fleischer	Q2157102
Walter Eckhardt	Q102062
Martin Sellner	Q26262585
Zoltan Korda	Q218845
Lina Eichler	Q110498482
John the Baptist	Q40662
Viktor Orbán	Q57641
Sandra Maischberger	Q106538
Eric Seymour	Q100921728
Max Otte	Q72817
Sahra Wagenknecht	Q77193
Emmanuel Macron	Q3052772
Éric Zemmour	Q288477
Mario Müller	Q124310601
Nathalie Delon	Q461186
Simurq PFC	Q1050268
Jérôme Bonaparte	Q151087
Marine Le Pen	Q12927
Jörg Meuthen	Q15907132
Gita Gopinath	Q5565024
Martin Wille	Q6776890
Jean Asselborn	Q58200
Small talk	Q1335220
Volodymyr Zelensky	Q3874799
Paul Ziemiak	Q18169686
Frank-Walter Steinmeier	Q76658
Thomas Kemmerich	Q2425648
Hans-Georg Maaßen	Q1576999
Alice Weidel	Q27975838
Freddy Quinn	Q466120
Egon Krenz	Q2602
Greta Thunberg	Q56434717
Luisa Neubauer	Q61625543
Volodymyr Zelenskyy	Q3874799
Henry Kissinger	Q66107
Ursula von der Leyen	Q60772
Christine Lagarde	Q484605
Sanna Marin	Q16986436
Klaus Schwab	Q76793
Lisa Marie Presley	Q237324
Elvis Presley	Q303
André Poggenburg	Q23046207
Anne Will	Q77772
Tatjana Patitz	Q65023
Erich Honecker	Q2607
Walter Ulbricht	Q2628
Stefan Heim	Q38639955
Lavrentiy Beria	Q141829
Joseph Stalin	Q855
Arthur Honegger	Q123164
Ricarda Lang	Q42841188
Eugène Jansson	Q647473
Liz Truss	Q272201
Andrzej Duda	Q9151911
Hansjörg Müller	Q40879872
Harald Martenstein	Q108868
Alexander Lukashenko	Q2866
Recep Tayyip Erdoğan	Q39259
Muammar Gaddafi	Q19878
Manfred Ritschel	Q388028
Susanne Hoffmann	Q18631376
Helmut Kohl	Q2518
Wolfgang Mückstein	Q106484746
Peter Kaiser	Q2076158
Hans Peter Doskozil	Q22078521
