Kharkiv	Q42308
Ukraine	Q212
Russia	Q159
Kiev	Q1899
Cologne	Q365
Dortmund	Q1295
Russians	Q49542
Ukrainians	Q44806
Euromaidan	Q15224558
Eastern Ukraine	Q181386
Nazi Germany	Q7318
Germany	Q183
Europe	Q46
European Union	Q458
Moscow	Q649
Munich	Q1726
Yugoslavia	Q36704
United States	Q30
German Empire	Q43287
Moscow Kremlin	Q133274
Minister of Foreign Affairs	Q1418873
Essen	Q2066
London	Q84
Imperial College London	Q189022
Delta State	Q503910
Lauterbach	Q622569
ZDF	Q48989
unk	unk
Deutschen	Q18477036
Robert Koch Institute	Q679041
United Kingdom	Q145
South Africa	Q258
United States of America	Q30
Rakiv	Q4389435
Berlin	Q64
Marzahn	Q702521
Syria	Q858
Hamburg	Q1055
Rakia	Q931946
City of Brussels	Q239
Kaliningrad	Q1829
Poland	Q36
Frankfurt	Q1794
Oder	Q552
Polish	Q809
Arctic Ocean	Q788
Kamchatka Peninsula	Q993
Kazakhstan	Q232
Mongolia	Q711
Georgia (country)	Q230
Norway	Q20
East Germany	Q16957
Saint Petersburg	Q656
Beijing	Q956
China (region)	Q29520
Minsk	Q2280
Belarus	Q184
Soviet Union	Q15180
Earth	Q2
Italy	Q38
North Korea	Q423
Crimea	Q7835
Rostock	Q2861
SARS-CoV-2	Q82069695
Alexanderplatz	Q152783
Brandenburg Gate	Q82425
Münster	Q2742
Cottbus	Q3214
Mannheim	Q2119
Mecklenburg	Q109057
Western Pomerania	Q150108
Freiberg	Q14819
Saxony	Q1202
Landschaftsverband Rheinland	Q153468
Westphalia	Q8614
Weimar Republic	Q41304
France	Q142
Sahara	Q6583
German Institute for Economic Research	Q155228
Jasień	Q164241
Jorgos	Q123820130
Tummernicht	Q105543111
Inkstick	Q11240146
Chernobyl disaster	Q486
Belarusian	Q9091
Washington Metro	Q171221
rapid transit	Q5503
Rapid transit	Q5503
Jerusalem	Q1218
Israel	Q801
Vladimir, Russia	Q2684
Bern	Q70
Aleppo	Q41183
Americas	Q828
William Tell	Q30908
Leipzig	Q2079
Auerbachs Keller	Q523117
Bavaria	Q980
Czech Republic	Q213
Spain	Q29
Celle	Q3933
Lower Saxony	Q1197
Donetsk	Q43070
Portugal	Q45
Grozny	Q5196
Moldova	Q217
Romania	Q218
Hungary	Q28
Slovakia	Q214
Berlin Hauptbahnhof	Q1097
Kyiv	Q1899
Austria	Q40
England	Q21
Switzerland	Q39
Sweden	Q34
Magdeburg	Q1733
Schmalkalden	Q489147
Düsseldorf	Q1718
.berlin	Q835471
Vienna	Q1741
Stuttgart	Q1022
Baden-Württemberg	Q985
Deutscher	Q21502270
Thuringia	Q1205
Petra	Q5788
Martin	Q27001
Federal Constitutional Court	Q56025
Karlsruhe	Q1040
Montgomery, Alabama	Q29364
Warburg	Q968
Belize	Q242
Serbia and Montenegro	Q37024
Serbia	Q403
Australia	Q408
Australian Open	Q60874
Serbs	Q127885
Melbourne	Q3141
Belgrade	Q3711
Bosnia and Herzegovina	Q225
Australian Capital Territory	Q3258
Serbian	Q9299
Kosovo	Q1246
Queensland	Q36074
New South Wales	Q3224
Canberra	Q3114
Australians	Q1318423
Australian National University	Q127990
Brandenburg	Q1208
Latin America	Q12585
Wandlitz	Q525555
Extremo	Q1385516
Fiji	Q712
Manhattan	Q11299
Greenfield	Q1530924
Geneva	Q71
Mecklenburg-Vorpommern	Q1196
Wittenberg	Q6837
Lübeck	Q2843
Pforzheim	Q3046
Kamenz	Q81722
Haaretz	Q216393
Iran	Q794
West Africa	Q4412
Mali	Q912
Bamako	Q3703
Denmark	Q35
Dresden	Q1731
Bakhmut	Q706857
Sloviansk	Q33581
Lazio	Q1282
Rome	Q220
Lombardy	Q1210
Allies	Q3612401
Vietnam	Q881
Iraq	Q796
China	Q148
People's Republic of China	Q148
Washington (state)	Q1223
Nord Stream	Q154125
Hesse	Q1199
Goddelau	Q1533662
Giessen	Q3874
Badenburg	Q61928230
Butzbach	Q569680
Zürich	Q72
Eisenach	Q7070
Sill (river)	Q682364
Barnim	Q6115
Bernau bei Berlin	Q9300
Cemur	Q18450818
Collat	Q1150234
