Frank-Walter Steinmeier	Q76658
Rishi Sunak	Q20055561
Lena Meyer-Landrut	Q7013
Vitali Klitschko	Q31919
Robert Habeck	Q109943
Ulf Kirsten	Q310519
Friedrich Zimmermann	Q65529
Giorgia Meloni	Q451791
Liz Truss	Q272201
Sarah Céline Tacke	Q2224509
Erika Steinbach	Q61897
Smash (TV series)	Q133683
Kanye West	Q15935
Erling Haaland	Q28967995
Jude Bellingham	Q66241169
Karim Benzema	Q1912
Luka Modrić	Q483837
Marco Rose	Q542990
Timo Werner	Q3529022
Anne Frank	Q4583
Emmanuel Macron	Q3052772
Olaf Scholz	Q61053
Vladimir Putin	Q7747
Andrew the Apostle	Q43399
Volodymyr Zelensky	Q3874799
Katrin Eigendorf	Q20724971
Los Angeles Rams	Q337377
Renate Künast	Q65128
Heinz Wolff	Q5700908
Ferdinand Marcos	Q1463
Rodrigo Duterte	Q457786
Yasmin Fahimi	Q15606894
Archduchess Marie Valerie of Austria	Q234002
Valerie von Martens	Q88559
Max Verstappen	Q2239218
Charles Leclerc	Q17541912
Carlos Sainz	Q211204
Mick Schumacher	Q18119599
Sebastian Vettel	Q42311
Norbert of Xanten	Q160374
Friedrich Merz	Q566257
Diesel fuel	Q38423
Ruben I, Prince of Armenia	Q2299851
Franz Hengsbach	Q64060
Jan P. Meier-Kolthoff	Q50288402
Albert I of Germany	Q153956
Sandra (singer)	Q76901
Grove (nature)	Q1510380
Christa Wolf	Q57382
Christian Sievers	Q1081910
Jana Pareigis	Q22687783
Sven Voss	Q2371414
Katja Keul	Q1736638
Bastian Steger	Q65752
Mateusz Morawiecki	Q11771436
Carl Jung	Q41532
Zlatan Ljubijankić	Q207127
Kira (German singer)	Q1737317
Olena Petrìvna Levčenko	Q112486667
Sergio Mattarella	Q3956186
Andreas Postel	Q36670488
Kyriakos Mitsotakis	Q552751
Recep Tayyip Erdoğan	Q39259
Cem Özdemir	Q12839
Rainer Woelki	Q45201
Alexandra Popp	Q432932
Tobias Karlsson (handballer)	Q579683
Dunja Hayali	Q1265849
Florian Henckel von Donnersmarck	Q57932
Volker Wissing	Q1278715
Ricarda Lang	Q42841188
Johann Mayer	Q21520171
Conspicuous consumption	Q1360134
Lupita Nyong'o	Q3840847
Matt Damon	Q175535
Cillian Murphy	Q202589
J. Robert Oppenheimer	Q132537
Thomas Tuchel	Q702233
Lena Oberdorf	Q56928666
Justus Strelow	Q86723988
Saint Barbara	Q192816
Ursula von der Leyen	Q60772
Annalena Baerbock	Q564328
Theo Albrecht	Q57771
Jan Fritsche	Q89151176
Oswald Haselrieder	Q1387930
Friedrich Karl Ginzel	Q113103
Ethnic group	Q41710
Igor Ternov	Q4455983
Justus Weigand	Q107711210
Sha'Carri Richardson	Q64514634
In Treatment (American TV series)	Q1465636
Book of Joshua	Q47680
Harald Schmid	Q61818
Toni Eggert	Q86445
Sascha Benecken	Q820885
Marietta Slomka	Q74177
Heinz Wolf	Q65010506
Anton Hofreiter	Q103519
Daniela Alves Lima	Q4935345
Alfred Herrhausen	Q68878
Detlev Karsten Rohwedder	Q72316
Ernst-Volker Staub	Q110305
Burkhard Garweg	Q92184
Stefan Aust	Q66981
Joe Biden	Q6279
Alice Weidel	Q27975838
Marine Le Pen	Q12927
Ulf-Jensen Röller	Q1229961
Jörg Meuthen	Q15907132
Jean-Marie Le Pen	Q7177
Bernhard Herrmann	Q98402382
RS-26 Rubezh	Q16271690
Alfred Gause	Q85089
Niels, King of Denmark	Q364751
Christina, Queen of Sweden	Q52937
Yuri I of Galicia	Q2715343
Yuri (genre)	Q320568
Yuri Gagarin	Q7327
Queen Victoria	Q9439
Gerhard Schönborn	Q90844771
Carl Raswan	Q108116
Lawsonia inermis	Q182448
Justin Trudeau	Q3099714
Miriam Rothschild	Q442167
