Costco	Q715583
Brothers of Italy	Q1757843
Social Democratic Party of Germany	Q49768
Friedrich Ebert Foundation	Q836469
Christian Democratic Union of Germany	Q49762
Konrad Adenauer Foundation	Q324555
Christian Social Union in Bavaria	Q49763
Free Democratic Party (Germany)	Q13124
Alliance 90/The Greens	Q49766
The Left (Germany)	Q49764
Alternative for Germany	Q6721203
Desiderius-Erasmus-Stiftung	Q47580245
Erasmus	Q43499
Adidas	Q3895
Franks	Q43482
Borussia Dortmund	Q41420
Manchester City F.C.	Q50602
Bundesliga	Q82595
Real Madrid CF	Q8682
UEFA Champions League	Q18756
Heute Journal	Q885345
NATO	Q7184
Nikon	Q1218180
Bundeswehr	Q56010
United States Armed Forces	Q11211
Ribbon of Saint George	Q1790496
European Commission	Q8880
South Schleswig Voters' Association	Q161545
German Trade Union Confederation	Q586581
Union of Mining and Energy	Q1653621
Confederation of German Trade Unions	Q586581
KfW	Q658270
Formula One	Q1968
Christian Democratic Union	Q49762
German Football Association	Q154191
RB Leipzig	Q702455
European Parliament	Q8889
Bundeszahnärztekammer	Q1009311
Bundestag	Q154797
OPEC	Q7795
SOS Méditerranée	Q30750720
German Bishops' Conference	Q256684
Alexians	Q622385
unk	unk
Regierungsbezirk	Q22721
Deutsche Reichsbahn	Q698082
1. FC Union Berlin	Q141971
Law and Justice	Q156874
United Nations	Q1065
Federal Ministry of Education and Research (Germany)	Q492234
union council of Bangladesh	Q3812392
Manchester United F.C.	Q18656
FC Bayern Munich	Q15789
UEFA Nations League	Q15980635
athletics at the 1996 Summer Olympics – men's 100 metres	Q26860
immunohistochemistry	Q899285
CE Jenlai	Q5010401
Microsoft	Q2283
Grünen	Q83353784
Deutscher Bauernverband	Q1204623
Super Bowl	Q32096
Kansas City Chiefs	Q223522
Academy Awards	Q19020
S.S. Lazio	Q2609
Unidos do Viradouro	Q3093401
ZDF-Mittagsmagazin	Q135981
Environmental Action Germany	Q1204319
BRICS	Q243630
prefrontal cortex	Q18680
Haras Nationaux	Q17319854
Taurus	Q10570
Royal Air Force	Q165862
Red Army Faction	Q102734
Journal Update	Q91209022
Hamas	Q38799
memorial	Q5003624
Donuts (company)	Q18588958
Environmental policy of the European Union	Q5324585
Marine Le Pen	Q12927
Jean-Marie Le Pen	Q7177
European Conservatives and Reformists	Q1345559
European Parliament election	Q1128324
Eurozone	Q8268
Polar bear	Q33609
Royal Navy	Q172771
Russian Armed Forces	Q193159
Organization for Security and Co-operation in Europe	Q81299
Google	Q95
Aid agency	Q336473
ambassador of the United States of America	Q15726790
Volkswagen	Q246
Mercedes-Benz	Q36008
Juniper	Q25662
Securing Energy for Europe	Q1496677
Gazprom	Q102673
Axpo Holding	Q792617
OMV	Q168238
Landtag of Brandenburg	Q521764
Ver.di	Q547951
Xinhua News Agency	Q204839
Liverpool F.C.	Q1130849
Cincinnati Reds	Q826751
Hansgrohe	Q741499
James Webb Space Telescope	Q186447
Imperial Russian Army	Q1078222
German Council on Foreign Relations	Q879172
Catholic theology	Q1367940
Wölkisch	Q2596425
German Wikipedia	Q48183
Nestlé	Q160746
Edeka	Q701755
E.ON	Q270223
United Nations Security Council	Q37470
Design-basis event	Q446054
British Armed Forces	Q275482
SARS-CoV-2	Q82069695
Lufthansa	Q9325
Trust (social science)	Q659974
Invictus Games	Q16987323
Sporting CP	Q75729
Eintracht Frankfurt	Q38245
Republican Party (United States)	Q29468
Ocean Viking	Q65710948
Cell Broadcast	Q1052989
Christie's	Q503176
Zypreß	Q86356463
company	Q783794
SC Freiburg	Q106394
logo	Q1886349
Deutscher Wetterdienst	Q325859
Health	Q12147
Syrian Railways	Q658126
Chronic fatigue syndrome	Q209733
Facebook	Q355
MDK	Q1881315
Marina	Q721207
Medication	Q12140
Microsoft Combat Flight Simulator	Q1735558
Scheideweg	Q1509021
German Institute for International and Security Affairs	Q542252
Nuclear power plant	Q134447
International Atomic Energy Agency	Q41984
Rosneft	Q1141123
RWE	Q138133
Conference of Ministers-President	Q1937121
UEFA Europa League	Q18760
Tottenham Hotspur F.C.	Q18741
Premier League	Q9448
UEFA	Q35572
Bayer 04 Leverkusen	Q104761
FC Porto	Q128446
European Space Agency	Q42262
International Space Station	Q25271
Rammstein	Q25177
Council	Q4358176
Rheinmetall	Q161544
oscillation	Q170475
Christian Social Union of Bavaria	Q49763
German Life Saving Association	Q871679
Local derby	Q3246109
Hertha BSC	Q102720
Ambassador	Q121998
The Ukrainians	Q276942
Free Democratic Party	Q13124
AstraZeneca	Q731938
BioNTech	Q30256699
Omicron	Q14408
river delta	Q43197
Watzel	Q18334873
Landeskriminalamt	Q314931
Sakharov Prize	Q48786
Republican People's Party	Q19079
Federal Reserve	Q53536
RIA Novosti	Q821172
Wagner	Q2539239
Treaty establishing the European Defence Community	Q689450
Special Protection Area	Q2463705
Hohenloh	Q1118050
BASF	Q9401
Virgin Galactic	Q373225
