video,turn_index,start,end,topic
WFdoX0g1NGNocnc=,0,7.755,42.463,-1
WFdoX0g1NGNocnc=,1,42.553,53.868,-1
WFdoX0g1NGNocnc=,2,96.395,111.416,-1
WFdoX0g1NGNocnc=,3,124.554,139.389,-1
WFdoX0g1NGNocnc=,4,140.179,161.519,24
WFdoX0g1NGNocnc=,5,209.579,227.573,19
WFdoX0g1NGNocnc=,6,233.408,259.296,-1
WFdoX0g1NGNocnc=,7,281.225,293.85900000000004,72
WFdoX0g1NGNocnc=,8,293.909,305.943,-1
WFdoX0g1NGNocnc=,9,305.973,335.418,-1
WFdoX0g1NGNocnc=,10,336.328,348.755,-1
WFdoX0g1NGNocnc=,11,348.805,377.79,14
WFdoX0g1NGNocnc=,12,393.431,412.65500000000003,-1
WFdoX0g1NGNocnc=,13,412.765,653.999,-1
RlpGdFNaNTQxYzA=,0,0.369,55.376000000000005,-1
RlpGdFNaNTQxYzA=,1,55.896,106.607,0
RlpGdFNaNTQxYzA=,2,107.237,136.79000000000002,-1
RlpGdFNaNTQxYzA=,3,137.541,144.626,40
RlpGdFNaNTQxYzA=,4,145.613,179.76000000000002,0
RlpGdFNaNTQxYzA=,5,180.11,202.113,-1
RlpGdFNaNTQxYzA=,6,202.143,214.60000000000002,0
RlpGdFNaNTQxYzA=,7,214.67,222.645,-1
RlpGdFNaNTQxYzA=,8,223.817,260.036,0
RlpGdFNaNTQxYzA=,9,260.066,266.63,3
RlpGdFNaNTQxYzA=,10,267.248,315.05400000000003,18
RlpGdFNaNTQxYzA=,11,324.59,344.637,21
RlpGdFNaNTQxYzA=,12,346.96,371.938,40
RlpGdFNaNTQxYzA=,13,372.658,384.276,-1
RlpGdFNaNTQxYzA=,14,384.806,426.273,-1
RlpGdFNaNTQxYzA=,15,426.303,451.29,0
RlpGdFNaNTQxYzA=,16,453.201,467.108,-1
RlpGdFNaNTQxYzA=,17,467.128,480.065,-1
RlpGdFNaNTQxYzA=,18,480.755,515.6320000000001,-1
RlpGdFNaNTQxYzA=,19,515.662,539.194,0
RlpGdFNaNTQxYzA=,20,540.424,592.614,0
RlpGdFNaNTQxYzA=,21,593.004,602.755,0
RlpGdFNaNTQxYzA=,22,603.22,631.968,-1
RlpGdFNaNTQxYzA=,23,631.998,653.002,0
RlpGdFNaNTQxYzA=,24,653.152,666.0310000000001,18
RlpGdFNaNTQxYzA=,25,666.061,679.521,0
RlpGdFNaNTQxYzA=,26,679.931,701.945,0
NDd2ZkpMaURXNDg=,0,0.81,474.83500000000004,1
RnRZNURoT05qVm8=,0,0.009,11.587,2
RnRZNURoT05qVm8=,1,11.717,61.747,-1
RnRZNURoT05qVm8=,2,64.76,120.53,2
RnRZNURoT05qVm8=,3,120.56,195.34900000000002,-1
RnRZNURoT05qVm8=,4,201.386,215.71300000000002,45
RnRZNURoT05qVm8=,5,220.406,236.704,28
RnRZNURoT05qVm8=,6,238.935,252.398,2
RnRZNURoT05qVm8=,7,254.249,290.177,-1
RnRZNURoT05qVm8=,8,290.547,301.973,-1
RnRZNURoT05qVm8=,9,307.908,317.363,2
RnRZNURoT05qVm8=,10,324.377,347.818,-1
RnRZNURoT05qVm8=,11,349.549,358.781,7
RnRZNURoT05qVm8=,12,364.233,371.045,2
RnRZNURoT05qVm8=,13,374.715,393.31,-1
RnRZNURoT05qVm8=,14,403.384,420.204,-1
RnRZNURoT05qVm8=,15,422.335,434.015,-1
RnRZNURoT05qVm8=,16,453.341,471.741,-1
RnRZNURoT05qVm8=,17,479.054,485.40500000000003,2
RnRZNURoT05qVm8=,18,492.677,510.656,-1
RnRZNURoT05qVm8=,19,515.229,582.211,-1
bjFxQnIwaE1PWDA=,0,0.309,29.639,5
bjFxQnIwaE1PWDA=,1,34.913,45.172000000000004,39
bjFxQnIwaE1PWDA=,2,45.422,53.078,0
bjFxQnIwaE1PWDA=,3,53.128,91.917,5
bjFxQnIwaE1PWDA=,4,94.899,126.806,5
bjFxQnIwaE1PWDA=,5,129.798,157.845,5
bjFxQnIwaE1PWDA=,6,157.875,165.172,5
bjFxQnIwaE1PWDA=,7,177.556,236.073,5
bjFxQnIwaE1PWDA=,8,236.443,248.841,5
bjFxQnIwaE1PWDA=,9,249.111,254.78900000000002,5
bjFxQnIwaE1PWDA=,10,254.819,261.738,-1
bjFxQnIwaE1PWDA=,11,263.121,368.693,5
bjFxQnIwaE1PWDA=,12,372.338,383.035,6
bjFxQnIwaE1PWDA=,13,390.708,422.853,-1
dGlOMU4weU5ucHc=,0,0.217,46.212,-1
dGlOMU4weU5ucHc=,1,48.082,91.939,-1
dGlOMU4weU5ucHc=,2,91.99,103.326,2
dGlOMU4weU5ucHc=,3,108.829,138.816,25
dGlOMU4weU5ucHc=,4,144.932,221.068,-1
dGlOMU4weU5ucHc=,5,221.618,234.67000000000002,-1
dGlOMU4weU5ucHc=,6,234.7,296.283,56
dGlOMU4weU5ucHc=,7,296.313,318.895,-1
dGlOMU4weU5ucHc=,8,319.185,342.216,-1
dGlOMU4weU5ucHc=,9,342.987,376.514,87
dGlOMU4weU5ucHc=,10,379.648,401.732,87
dGlOMU4weU5ucHc=,11,414.873,435.992,-1
dGlOMU4weU5ucHc=,12,441.024,465.478,25
dGlOMU4weU5ucHc=,13,466.454,496.28000000000003,87
dGlOMU4weU5ucHc=,14,500.832,512.466,87
dGlOMU4weU5ucHc=,15,512.516,561.994,87
dGlOMU4weU5ucHc=,16,562.025,582.557,4
dGlOMU4weU5ucHc=,17,582.987,644.398,-1
dGlOMU4weU5ucHc=,18,645.608,654.561,-1
N2REUGpvUVQtakU=,0,0.269,664.577,1
ZTRwSy11dVBwcVU=,0,0.289,21.657999999999998,-1
