video,turn_index,start,end,topic
COMPACTTV-2023-04-17-C477,0,12.08,60.148,23
COMPACTTV-2023-04-17-C477,1,60.638,70.28999999999999,-1
COMPACTTV-2023-04-17-C477,2,77.781,269.637,8
COMPACTTV-2023-04-17-C477,3,269.667,288.784,2
COMPACTTV-2023-04-17-C477,4,290.475,510.14,-1
COMPACTTV-2023-04-17-C477,5,510.19,521.624,-1
COMPACTTV-2023-04-17-C477,6,522.177,539.989,21
COMPACTTV-2023-04-17-C477,7,541.147,560.783,21
COMPACTTV-2023-04-17-C477,8,565.931,648.024,-1
COMPACTTV-2023-04-17-C477,9,648.983,764.689,-1
COMPACTTV-2023-04-17-C477,10,765.96,836.432,9
COMPACTTV-2023-04-17-C477,11,838.476,938.08,-1
COMPACTTV-2023-04-17-C477,12,938.422,1002.278,21
COMPACTTV-2023-04-17-C477,13,1004.93,1050.942,21
COMPACTTV-2023-04-17-C477,14,1051.994,1062.324,12
COMPACTTV-2023-04-17-C477,15,1066.113,1152.287,-1
COMPACTTV-2023-04-17-C477,16,1183.792,1197.776,24
COMPACTTV-2023-04-17-C477,17,1199.782,1338.955,24
COMPACTTV-2023-04-17-C477,18,1339.285,1366.178,3
COMPACTTV-2023-07-15-C353,0,11.268,36.287,-1
COMPACTTV-2023-07-15-C353,1,50.111,74.53699999999999,181
COMPACTTV-2023-07-15-C353,2,84.416,106.19,-1
COMPACTTV-2023-07-15-C353,3,110.61,131.10500000000002,-1
COMPACTTV-2023-07-15-C353,4,133.376,166.345,75
COMPACTTV-2023-07-15-C353,5,167.663,175.25900000000001,46
COMPACTTV-2023-07-15-C353,6,179.308,202.604,102
COMPACTTV-2023-07-15-C353,7,214.885,237.187,2
COMPACTTV-2023-07-15-C353,8,244.75,278.975,-1
COMPACTTV-2023-07-15-C353,9,304.594,358.257,85
COMPACTTV-2023-07-15-C353,10,371.812,430.232,58
COMPACTTV-2023-07-15-C353,11,430.282,446.926,-1
COMPACTTV-2023-07-15-C353,12,468.953,530.289,-1
COMPACTTV-2023-07-15-C353,13,543.093,561.328,-1
COMPACTTV-2023-07-15-C353,14,571.692,585.8100000000001,10
COMPACTTV-2023-07-15-C353,15,589.052,620.855,-1
COMPACTTV-2023-07-15-C353,16,620.885,664.91,58
COMPACTTV-2023-07-15-C353,17,669.922,688.39,181
COMPACTTV-2023-07-15-C353,18,693.491,700.526,-1
COMPACTTV-2023-07-15-C353,19,706.02,722.901,11
COMPACTTV-2023-07-15-C353,20,723.251,730.811,-1
COMPACTTV-2023-07-15-C353,21,730.861,739.8820000000001,-1
COMPACTTV-2023-07-15-C353,22,762.709,780.9110000000001,135
COMPACTTV-2023-07-15-C353,23,783.373,847.5120000000001,-1
COMPACTTV-2023-07-15-C353,24,848.682,876.9060000000001,75
COMPACTTV-2023-07-15-C353,25,878.957,934.909,151
COMPACTTV-2023-07-15-C353,26,936.682,962.201,56
