Topic,Count,Name,Representation
-1,224,-1_eigentlich_deutschland_corona_prozent,"['eigentlich', 'deutschland', 'corona', 'prozent', 'politik', 'land', 'ukraine', 'fall', 'grünen', 'russland']"
0,199,0_ukraine_russland_krieg_russen,"['ukraine', 'russland', 'krieg', 'russen', 'westen', 'deutschen', 'russischen', 'eigentlich', 'us', 'armee']"
1,39,1_leute_liebe_eigentlich_heino,"['leute', 'liebe', 'eigentlich', 'heino', 'männer', 'thomas', 'lennon', 'gottschalk', 'john', 'beatles']"
2,39,2_euro_deutschland_gas_russland,"['euro', 'deutschland', 'gas', 'russland', 'politik', 'milliarden', 'stream', 'inflation', 'sanktionen', 'winter']"
3,34,3_migranten_deutschland_leute_millionen,"['migranten', 'deutschland', 'leute', 'millionen', 'ausländer', 'staatsbürger', 'asylanten', 'migrationshintergrund', 'remigrationspolitik', 'grenzen']"
4,32,4_thüringen_sachsen_uwe_leute,"['thüringen', 'sachsen', 'uwe', 'leute', 'björn', 'spd', 'bürger', '2024', 'grünen', 'sonneberg']"
5,30,5_straße_leute_frieden_corona,"['straße', 'leute', 'frieden', 'corona', 'politik', 'deutschland', 'gestern', 'aiwanger', 'leipzig', 'demonstration']"
6,29,6_corona_impfung_impfpflicht_politik,"['corona', 'impfung', 'impfpflicht', 'politik', 'rki', 'deutschland', 'übersterblichkeit', 'pandemie', 'sogar', '2021']"
7,28,7_leute_antifa_eigentlich_deutschland,"['leute', 'antifa', 'eigentlich', 'deutschland', 'fall', 'remigration', 'nancy', 'polizei', 'opposition', 'demo']"
8,26,8_martin_leute_fall_janich,"['martin', 'leute', 'fall', 'janich', 'heißt', 'michael', 'manta', 'deutschland', 'oliver', 'gefängnis']"
9,24,9_demokratie_leute_regierung_rechtsextrem,"['demokratie', 'leute', 'regierung', 'rechtsextrem', 'deutschland', 'eigentlich', 'korrektiv', 'opposition', 'verfassungsschutz', 'politischen']"
10,22,10_polizei_berlin_fall_eigentlich,"['polizei', 'berlin', 'fall', 'eigentlich', 'bahnhof', 'deutsche', 'jugendlichen', 'leute', 'bürgermeisterin', 'politik']"
11,20,11_co2_eigentlich_grüne_grad,"['co2', 'eigentlich', 'grüne', 'grad', 'klima', '2030', 'berlin', 'politik', 'paul', 'energien']"
12,20,12_mcdonalds_euro_rubel_cola,"['mcdonalds', 'euro', 'rubel', 'cola', 'tv', 'kommentare', 'algorithmen', 'sommerpause', 'cent', 'joggen']"
13,18,13_nord_september_us_pipelines,"['nord', 'september', 'us', 'pipelines', 'bornholm', 'andromeda', 'hersh', 'marine', 'deutschen', 'ukraine']"
14,17,14_max_deutsche_deutschland_luther,"['max', 'deutsche', 'deutschland', 'luther', 'wahrheit', 'dresdner', 'weltkrieg', 'hessen', 'waldhäusl', 'lafontaine']"
15,16,15_tv_germanen_tschüss_win,"['tv', 'germanen', 'tschüss', 'win', 'scholli', 'olaf', 'deutschen', 'kommentare', 'welt', 'kerzenschein']"
16,15,16_rechtspopulist_deutschland_leute_is,"['rechtspopulist', 'deutschland', 'leute', 'is', 'straße', 'industrie', 'euro', 'selbstbestimmungsgesetz', 'welt', 'co2']"
17,14,17_hamas_gaza_israelis_palästinenser,"['hamas', 'gaza', 'israelis', 'palästinenser', 'netanyahu', 'juden', 'messias', 'ägypten', 'berlin', 'krieg']"
18,13,18_corona_impfpflicht_politik_deutschland,"['corona', 'impfpflicht', 'politik', 'deutschland', 'scheint', 'trucker', 'fdp', 'grünen', 'ukraine', 'ottawa']"
19,13,19_paris_traktoren_regierung_polizei,"['paris', 'traktoren', 'regierung', 'polizei', 'blockiert', 'straße', 'proteste', 'deutschland', 'land', 'bleiben']"
20,12,20_namibia_alternative_leute_sachsen,"['namibia', 'alternative', 'leute', 'sachsen', 'bürgerbegehren', 'prenzlau', 'mecklenburg', 'deutschland', 'sonneberg', 'landkreis']"
