video,topic
COMPACTTV-2023-04-17-C477,0
COMPACTTV-2023-07-15-C353,11
COMPACTTV-2022-10-20-C664,-1
COMPACTTV-2023-12-04-C161,11
COMPACTTV-2022-12-02-C622,-1
COMPACTTV-2024-03-13-C27,9
COMPACTTV-2023-03-06-C524,0
COMPACTTV-2022-08-18-C748,8
COMPACTTV-2022-03-04-C867,-1
COMPACTTV-2022-02-21-C877,0
COMPACTTV-2023-09-28-C256,9
COMPACTTV-2022-09-11-C721,4
COMPACTTV-2022-01-27-C897,-1
COMPACTTV-2024-02-11-C75,7
COMPACTTV-2023-06-27-C380,4
COMPACTTV-2023-06-02-C415,11
COMPACTTV-2022-01-31-C895,18
COMPACTTV-2023-09-06-C281,-1
COMPACTTV-2023-05-26-C425,-1
COMPACTTV-2022-06-01-C809,2
COMPACTTV-2022-06-16-C799,-1
COMPACTTV-2023-10-31-C209,-1
COMPACTTV-2022-10-25-C658,-1
COMPACTTV-2022-10-07-C682,0
COMPACTTV-2023-07-27-C341,-1
COMPACTTV-2023-02-24-C535,10
COMPACTTV-2023-10-28-C214,-1
COMPACTTV-2023-11-26-C175,0
COMPACTTV-2022-08-25-C738,8
COMPACTTV-2024-01-06-C124,4
COMPACTTV-2023-07-12-C358,2
COMPACTTV-2022-09-14-C717,0
COMPACTTV-2023-10-24-C219,3
COMPACTTV-2023-02-07-C559,14
COMPACTTV-2022-05-02-C831,-1
COMPACTTV-2022-03-21-C858,0
COMPACTTV-2022-08-04-C763,-1
COMPACTTV-2022-09-18-C710,1
COMPACTTV-2022-08-01-C767,5
COMPACTTV-2022-09-24-C700,0
COMPACTTV-2023-01-10-C588,-1
COMPACTTV-2022-03-24-C856,-1
COMPACTTV-2022-05-30-C811,0
COMPACTTV-2023-04-19-C475,-1
COMPACTTV-2022-07-19-C775,2
COMPACTTV-2022-12-30-C598,0
COMPACTTV-2022-09-23-C701,0
COMPACTTV-2022-07-12-C779,2
COMPACTTV-2022-11-18-C635,0
COMPACTTV-2023-09-15-C269,4
COMPACTTV-2022-12-09-C616,10
COMPACTTV-2023-06-08-C404,-1
COMPACTTV-2023-12-01-C165,15
COMPACTTV-2022-06-04-C807,-1
COMPACTTV-2023-07-04-C368,11
COMPACTTV-2022-08-27-C737,15
COMPACTTV-2022-10-05-C687,1
COMPACTTV-2023-10-11-C238,-1
COMPACTTV-2022-11-04-C648,-1
COMPACTTV-2022-03-07-C866,0
COMPACTTV-2023-01-11-C586,0
COMPACTTV-2024-01-23-C102,19
COMPACTTV-2023-10-02-C250,3
COMPACTTV-2023-12-07-C160,3
COMPACTTV-2024-01-16-C111,19
COMPACTTV-2023-11-14-C190,0
COMPACTTV-2022-06-02-C808,-1
COMPACTTV-2023-01-24-C571,0
COMPACTTV-2023-01-08-C591,-1
COMPACTTV-2023-08-15-C317,0
COMPACTTV-2022-01-19-C905,10
COMPACTTV-2023-11-13-C191,6
COMPACTTV-2022-06-09-C804,6
COMPACTTV-2022-11-03-C649,3
COMPACTTV-2022-07-06-C783,0
COMPACTTV-2022-09-22-C705,9
COMPACTTV-2022-04-07-C846,0
COMPACTTV-2023-08-06-C329,16
COMPACTTV-2023-07-09-C361,-1
COMPACTTV-2023-03-16-C511,20
COMPACTTV-2023-11-02-C208,3
COMPACTTV-2024-01-05-C125,19
COMPACTTV-2023-10-06-C243,-1
COMPACTTV-2023-07-11-C359,11
COMPACTTV-2023-12-14-C154,3
COMPACTTV-2023-03-13-C515,0
COMPACTTV-2023-01-06-C593,0
COMPACTTV-2023-05-12-C445,-1
COMPACTTV-2022-09-27-C695,8
COMPACTTV-2022-08-19-C746,5
COMPACTTV-2022-01-05-C916,6
COMPACTTV-2022-11-29-C626,-1
COMPACTTV-2022-04-01-C850,0
COMPACTTV-2022-03-09-C864,-1
COMPACTTV-2022-05-11-C824,0
COMPACTTV-2022-08-16-C753,-1
COMPACTTV-2022-06-29-C788,-1
COMPACTTV-2024-02-18-C66,20
COMPACTTV-2023-07-03-C370,4
COMPACTTV-2023-08-25-C300,12
