video,turn_index,start,end,topic
OG43dXhWOXE4Mm8=,0,16.142,95.567,31
OG43dXhWOXE4Mm8=,1,95.637,209.244,42
OG43dXhWOXE4Mm8=,2,218.358,266.58,-1
OG43dXhWOXE4Mm8=,3,277.177,296.6,43
OG43dXhWOXE4Mm8=,4,298.932,336.507,-1
OG43dXhWOXE4Mm8=,5,338.246,396.65000000000003,87
OG43dXhWOXE4Mm8=,6,398.892,435.32300000000004,87
OG43dXhWOXE4Mm8=,7,435.394,487.568,-1
OG43dXhWOXE4Mm8=,8,488.592,514.896,94
OG43dXhWOXE4Mm8=,9,516.588,535.439,86
OG43dXhWOXE4Mm8=,10,547.007,584.148,86
OG43dXhWOXE4Mm8=,11,584.378,600.364,94
OG43dXhWOXE4Mm8=,12,610.183,680.288,16
OG43dXhWOXE4Mm8=,13,681.978,745.356,-1
OG43dXhWOXE4Mm8=,14,745.426,763.111,11
OG43dXhWOXE4Mm8=,15,763.861,784.357,59
OG43dXhWOXE4Mm8=,16,787.515,876.189,4
OG43dXhWOXE4Mm8=,17,877.444,976.659,19
OG43dXhWOXE4Mm8=,18,985.01,998.649,0
OG43dXhWOXE4Mm8=,19,1008.842,1018.737,-1
OG43dXhWOXE4Mm8=,20,1020.107,1045.483,0
OG43dXhWOXE4Mm8=,21,1048.027,1063.194,0
OG43dXhWOXE4Mm8=,22,1064.54,1111.476,0
OG43dXhWOXE4Mm8=,23,1114.202,1141.665,0
OG43dXhWOXE4Mm8=,24,1141.695,1160.735,14
OG43dXhWOXE4Mm8=,25,1175.616,1242.631,88
VkI4R0lMYzVCaW8=,0,8.524,76.556,53
VkI4R0lMYzVCaW8=,1,77.971,92.689,-1
VkI4R0lMYzVCaW8=,2,94.4,105.826,67
VkI4R0lMYzVCaW8=,3,127.726,139.529,27
VkI4R0lMYzVCaW8=,4,139.579,155.328,-1
VkI4R0lMYzVCaW8=,5,155.358,183.11,-1
VkI4R0lMYzVCaW8=,6,190.992,281.404,-1
VkI4R0lMYzVCaW8=,7,282.185,309.819,9
VkI4R0lMYzVCaW8=,8,311.639,413.157,9
VkI4R0lMYzVCaW8=,9,415.367,426.053,-1
VkI4R0lMYzVCaW8=,10,428.789,489.803,26
VkI4R0lMYzVCaW8=,11,490.936,535.023,140
VkI4R0lMYzVCaW8=,12,536.432,555.279,-1
VkI4R0lMYzVCaW8=,13,556.377,566.71,-1
VkI4R0lMYzVCaW8=,14,574.858,593.414,58
VkI4R0lMYzVCaW8=,15,601.885,615.688,-1
VkI4R0lMYzVCaW8=,16,622.829,635.282,-1
VkI4R0lMYzVCaW8=,17,644.236,670.612,22
VkI4R0lMYzVCaW8=,18,673.644,687.16,-1
VkI4R0lMYzVCaW8=,19,697.755,711.838,22
VkI4R0lMYzVCaW8=,20,711.888,721.517,83
VkI4R0lMYzVCaW8=,21,722.236,736.915,22
VkI4R0lMYzVCaW8=,22,736.965,747.162,59
VkI4R0lMYzVCaW8=,23,747.922,764.33,22
VkI4R0lMYzVCaW8=,24,766.443,854.729,-1
VkI4R0lMYzVCaW8=,25,855.854,873.419,157
VkI4R0lMYzVCaW8=,26,874.768,889.648,-1
VkI4R0lMYzVCaW8=,27,889.678,905.07,-1
VkI4R0lMYzVCaW8=,28,910.663,926.823,16
VkI4R0lMYzVCaW8=,29,927.674,940.797,-1
VkI4R0lMYzVCaW8=,30,951.816,990.362,75
VkI4R0lMYzVCaW8=,31,993.046,1073.549,75
VkI4R0lMYzVCaW8=,32,1074.512,1097.17,75
VkI4R0lMYzVCaW8=,33,1097.22,1115.402,0
VkI4R0lMYzVCaW8=,34,1117.123,1167.742,0
VkI4R0lMYzVCaW8=,35,1169.512,1179.257,-1
VkI4R0lMYzVCaW8=,36,1180.502,1192.031,0
VkI4R0lMYzVCaW8=,37,1194.372,1220.618,0
VkI4R0lMYzVCaW8=,38,1222.705,1244.235,14
VkI4R0lMYzVCaW8=,39,1260.144,1330.484,15
NGdOZ3JrRG82Vmc=,0,20.016,98.06099999999999,-1
NGdOZ3JrRG82Vmc=,1,99.444,124.553,-1
NGdOZ3JrRG82Vmc=,2,124.583,135.54600000000002,-1
NGdOZ3JrRG82Vmc=,3,135.596,172.62,-1
NGdOZ3JrRG82Vmc=,4,173.041,184.64000000000001,-1
NGdOZ3JrRG82Vmc=,5,202.783,217.483,-1
NGdOZ3JrRG82Vmc=,6,226.272,293.618,-1
NGdOZ3JrRG82Vmc=,7,294.497,334.81600000000003,20
NGdOZ3JrRG82Vmc=,8,336.44,354.61,20
NGdOZ3JrRG82Vmc=,9,355.603,372.151,20
NGdOZ3JrRG82Vmc=,10,373.318,398.531,20
NGdOZ3JrRG82Vmc=,11,398.561,415.949,20
NGdOZ3JrRG82Vmc=,12,425.945,460.973,-1
NGdOZ3JrRG82Vmc=,13,465.899,477.125,-1
NGdOZ3JrRG82Vmc=,14,477.916,491.935,-1
NGdOZ3JrRG82Vmc=,15,496.785,511.806,-1
NGdOZ3JrRG82Vmc=,16,512.771,528.671,-1
NGdOZ3JrRG82Vmc=,17,528.701,540.598,-1
NGdOZ3JrRG82Vmc=,18,554.291,609.727,28
NGdOZ3JrRG82Vmc=,19,611.583,708.513,59
NGdOZ3JrRG82Vmc=,20,710.971,754.901,-1
NGdOZ3JrRG82Vmc=,21,767.606,839.102,-1
NGdOZ3JrRG82Vmc=,22,841.287,854.243,0
NGdOZ3JrRG82Vmc=,23,854.273,865.559,22
NGdOZ3JrRG82Vmc=,24,866.744,881.86,22
NGdOZ3JrRG82Vmc=,25,882.822,899.893,22
NGdOZ3JrRG82Vmc=,26,901.229,925.129,22
NGdOZ3JrRG82Vmc=,27,927.823,964.106,-1
NGdOZ3JrRG82Vmc=,28,964.136,978.675,0
NGdOZ3JrRG82Vmc=,29,980.186,1026.104,0
NGdOZ3JrRG82Vmc=,30,1028.18,1078.595,0
NGdOZ3JrRG82Vmc=,31,1080.137,1094.85,0
NGdOZ3JrRG82Vmc=,32,1094.88,1102.202,-1
NGdOZ3JrRG82Vmc=,33,1102.939,1113.561,0
NGdOZ3JrRG82Vmc=,34,1115.712,1142.676,0
NGdOZ3JrRG82Vmc=,35,1143.457,1164.195,14
NGdOZ3JrRG82Vmc=,36,1180.03,1247.29,138
Y3N1ZEJGMHNYUFE=,0,4.177,35.855000000000004,-1
Y3N1ZEJGMHNYUFE=,1,53.075,66.657,-1
Y3N1ZEJGMHNYUFE=,2,70.142,83.06099999999999,-1
Y3N1ZEJGMHNYUFE=,3,92.799,131.37900000000002,-1
Y3N1ZEJGMHNYUFE=,4,135.63,154.649,7
Y3N1ZEJGMHNYUFE=,5,158.762,179.96,-1
Y3N1ZEJGMHNYUFE=,6,193.604,206.33700000000002,11
Y3N1ZEJGMHNYUFE=,7,208.639,241.648,97
Y3N1ZEJGMHNYUFE=,8,279.172,297.38800000000003,-1
Y3N1ZEJGMHNYUFE=,9,297.438,332.84700000000004,97
Y3N1ZEJGMHNYUFE=,10,336.454,354.914,-1
Y3N1ZEJGMHNYUFE=,11,367.502,387.591,97
Y3N1ZEJGMHNYUFE=,12,390.843,431.671,97
Y3N1ZEJGMHNYUFE=,13,439.09,455.671,108
Y3N1ZEJGMHNYUFE=,14,458.954,480.129,97
Y3N1ZEJGMHNYUFE=,15,481.719,495.639,97
Y3N1ZEJGMHNYUFE=,16,495.669,519.129,-1
Y3N1ZEJGMHNYUFE=,17,522.82,534.652,-1
Y3N1ZEJGMHNYUFE=,18,538.844,594.869,-1
Y3N1ZEJGMHNYUFE=,19,631.952,649.701,97
Y3N1ZEJGMHNYUFE=,20,651.874,669.397,-1
Y3N1ZEJGMHNYUFE=,21,669.447,696.189,125
Y3N1ZEJGMHNYUFE=,22,698.933,712.934,135
Y3N1ZEJGMHNYUFE=,23,716.696,749.092,97
NGxhUF9mckJvQ2c=,0,5.111,81.259,60
NGxhUF9mckJvQ2c=,1,83.431,146.696,-1
NGxhUF9mckJvQ2c=,2,147.862,171.602,-1
NGxhUF9mckJvQ2c=,3,174.235,218.59,60
NGxhUF9mckJvQ2c=,4,219.438,251.27200000000002,-1
NGxhUF9mckJvQ2c=,5,253.503,340.979,60
