video,turn_index,start,end,topic
TV-20231230-2021-1500.webl.h264,0,4.722,54.836,-1
TV-20231230-2021-1500.webl.h264,1,56.759,71.455,-1
TV-20231230-2021-1500.webl.h264,2,75.505,89.633,-1
TV-20231230-2021-1500.webl.h264,3,89.683,107.402,81
TV-20231230-2021-1500.webl.h264,4,107.432,120.386,262
TV-20231230-2021-1500.webl.h264,5,121.227,136.911,-1
TV-20231230-2021-1500.webl.h264,6,137.902,148.58100000000002,-1
TV-20231230-2021-1500.webl.h264,7,173.473,240.80800000000002,-1
TV-20231230-2021-1500.webl.h264,8,240.838,268.43,38
TV-20231230-2021-1500.webl.h264,9,272.31,283.532,-1
TV-20231230-2021-1500.webl.h264,10,284.31,297.526,38
TV-20231230-2021-1500.webl.h264,11,297.556,312.753,38
TV-20231230-2021-1500.webl.h264,12,323.692,337.72700000000003,38
TV-20231230-2021-1500.webl.h264,13,345.049,373.564,-1
TV-20231230-2021-1500.webl.h264,14,376.923,463.633,2
TV-20231230-2021-1500.webl.h264,15,465.476,563.476,47
TV-20231230-2021-1500.webl.h264,16,565.954,589.9350000000001,-1
TV-20231230-2021-1500.webl.h264,17,591.642,677.725,-1
TV-20231230-2021-1500.webl.h264,18,680.083,758.046,-1
TV-20231230-2021-1500.webl.h264,19,760.075,805.106,5
TV-20231230-2021-1500.webl.h264,20,805.156,828.276,32
TV-20231230-2021-1500.webl.h264,21,830.956,878.1800000000001,0
TV-20220614-2020-2800.webl.h264,0,15.64,50.410000000000004,-1
TV-20220614-2020-2800.webl.h264,1,50.44,95.393,170
TV-20220614-2020-2800.webl.h264,2,96.034,110.92899999999999,-1
TV-20220614-2020-2800.webl.h264,3,119.581,130.196,252
TV-20220614-2020-2800.webl.h264,4,140.077,206.136,-1
TV-20220614-2020-2800.webl.h264,5,206.186,295.454,2
TV-20220614-2020-2800.webl.h264,6,297.961,315.922,27
TV-20220614-2020-2800.webl.h264,7,317.882,364.898,203
TV-20220614-2020-2800.webl.h264,8,366.616,382.659,-1
TV-20220614-2020-2800.webl.h264,9,382.709,394.468,-1
TV-20220614-2020-2800.webl.h264,10,396.09,410.82800000000003,20
TV-20220614-2020-2800.webl.h264,11,419.64,446.331,-1
TV-20220614-2020-2800.webl.h264,12,448.587,464.32300000000004,-1
TV-20220614-2020-2800.webl.h264,13,464.773,480.64,138
TV-20220614-2020-2800.webl.h264,14,481.41,493.62600000000003,-1
TV-20220614-2020-2800.webl.h264,15,493.676,511.714,29
TV-20220614-2020-2800.webl.h264,16,511.764,523.941,29
TV-20220614-2020-2800.webl.h264,17,523.971,547.894,29
TV-20220614-2020-2800.webl.h264,18,561.448,610.655,107
TV-20220614-2020-2800.webl.h264,19,612.342,629.158,-1
TV-20220614-2020-2800.webl.h264,20,645.069,660.064,-1
TV-20220614-2020-2800.webl.h264,21,660.114,681.972,-1
TV-20220614-2020-2800.webl.h264,22,696.4,706.798,-1
TV-20220614-2020-2800.webl.h264,23,709.122,731.496,179
TV-20220614-2020-2800.webl.h264,24,756.244,772.5,12
TV-20220614-2020-2800.webl.h264,25,772.55,783.625,-1
TV-20220614-2020-2800.webl.h264,26,784.902,805.544,-1
TV-20220614-2020-2800.webl.h264,27,805.594,815.219,-1
TV-20220614-2020-2800.webl.h264,28,825.333,854.465,8
TV-20220614-2020-2800.webl.h264,29,856.724,905.242,0
TV-20220221-2031-3100.webl.h264,0,4.947,49.926,338
TV-20220221-2031-3100.webl.h264,1,51.724,135.442,61
TV-20220221-2031-3100.webl.h264,2,142.41,205.70000000000002,61
TV-20220221-2031-3100.webl.h264,3,208.797,231.23700000000002,25
TV-20220221-2031-3100.webl.h264,4,232.965,249.82000000000002,-1
TV-20220221-2031-3100.webl.h264,5,249.85,261.544,-1
TV-20220221-2031-3100.webl.h264,6,262.423,346.60900000000004,25
TV-20220221-2031-3100.webl.h264,7,355.174,415.569,77
TV-20220221-2031-3100.webl.h264,8,417.022,430.731,-1
TV-20220221-2031-3100.webl.h264,9,433.375,484.135,-1
TV-20220221-2031-3100.webl.h264,10,484.165,521.65,-1
TV-20220221-2031-3100.webl.h264,11,523.098,537.8290000000001,9
