Topic,Count,Name,Representation
-1,353,-1_ukraine_deutschland_grad_nacht,"['ukraine', 'deutschland', 'grad', 'nacht', 'euro', 'präsident', 'norden', '15', 'bundesregierung', 'länder']"
0,99,0_ukraine_deutschland_bayern_minuten,"['ukraine', 'deutschland', 'bayern', 'minuten', 'stuttgart', 'tagesschau', 'union', 'freiburg', 'wolfsburg', 'augsburg']"
1,55,1_russland_krieg_präsident_deutschland,"['russland', 'krieg', 'präsident', 'deutschland', 'ukrainischen', 'stadt', 'nacht', 'sanktionen', 'mariupol', 'westen']"
2,43,2_ukraine_russland_deutschland_corona,"['ukraine', 'russland', 'deutschland', 'corona', 'präsident', 'tagesschau', 'impfpflicht', 'spd', 'krieg', 'bundesregierung']"
3,37,3_israel_gaza_aviv_deutsche,"['israel', 'gaza', 'aviv', 'deutsche', 'krieg', 'ägypten', 'regen', 'palästinenser', 'netanyahu', 'zivilbevölkerung']"
4,33,4_deutschland_grad_nacht_land,"['deutschland', 'grad', 'nacht', 'land', 'behörden', 'ukraine', 'gewitter', 'kilometer', 'norden', 'regen']"
5,32,5_euro_deutschland_nacht_milliarden,"['euro', 'deutschland', 'nacht', 'milliarden', 'grad', 'bundestag', 'bundesregierung', 'geld', 'grünen', 'länder']"
6,26,6_deutschland_china_nacht_ukraine,"['deutschland', 'china', 'nacht', 'ukraine', 'präsident', 'polizei', 'union', 'millionen', 'euro', 'westen']"
7,24,7_abend_deutschland_tagesschau_euro,"['abend', 'deutschland', 'tagesschau', 'euro', 'grad', 'berlin', 'polizei', 'präsident', 'gesetz', 'bleibt']"
8,22,8_deutschland_tagesschau_nacht_grad,"['deutschland', 'tagesschau', 'nacht', 'grad', 'präsident', 'grünen', 'norden', 'kritik', 'bundesregierung', 'ukraine']"
9,22,9_deutschland_ukraine_grad_gas,"['deutschland', 'ukraine', 'grad', 'gas', 'bundesregierung', 'china', 'experten', 'millionen', 'freitag', 'regen']"
10,17,10_präsident_russland_china_staaten,"['präsident', 'russland', 'china', 'staaten', 'nacht', 'türkische', 'tagesschau', 'polizei', 'anschlag', 'millionen']"
11,15,11_schuldenbremse_gaza_euro_2024,"['schuldenbremse', 'gaza', 'euro', '2024', 'israelischen', 'deutschland', 'verhandlungen', 'grad', 'bundestag', 'schnee']"
12,15,12_ukraine_tagesschau_präsident_grad,"['ukraine', 'tagesschau', 'präsident', 'grad', 'türkei', 'gestern', 'regen', 'zelensky', 'russland', 'norden']"
13,14,13_grünen_fdp_berlin_ukraine,"['grünen', 'fdp', 'berlin', 'ukraine', 'koalition', 'präsident', 'westfalen', 'wahlergebnis', 'macron', 'mehrheit']"
14,10,14_ukraine_russland_krieg_sanktionen,"['ukraine', 'russland', 'krieg', 'sanktionen', 'präsident', 'deutschland', 'euro', 'gas', 'länder', 'mariupol']"
