video,turn_index,start,end,topic
WnV2ckhVOGp1NUE=,0,6.012,14.447000000000001,-1
WnV2ckhVOGp1NUE=,1,14.497,56.097,-1
WnV2ckhVOGp1NUE=,2,58.468,113.68599999999999,-1
WnV2ckhVOGp1NUE=,3,120.369,147.449,-1
WnV2ckhVOGp1NUE=,4,148.067,159.52,-1
WnV2ckhVOGp1NUE=,5,159.55,314.949,-1
akMyeFVkVGpxU0E=,0,0.349,13.294,-1
akMyeFVkVGpxU0E=,1,13.541,33.069,-1
akMyeFVkVGpxU0E=,2,37.519,70.878,-1
akMyeFVkVGpxU0E=,3,71.954,96.152,4
akMyeFVkVGpxU0E=,4,100.719,154.597,-1
akMyeFVkVGpxU0E=,5,155.879,174.949,-1
akMyeFVkVGpxU0E=,6,178.749,226.735,-1
akMyeFVkVGpxU0E=,7,227.961,253.632,35
akMyeFVkVGpxU0E=,8,257.398,314.52,-1
akMyeFVkVGpxU0E=,9,315.452,334.268,50
akMyeFVkVGpxU0E=,10,337.674,382.759,-1
akMyeFVkVGpxU0E=,11,383.857,418.777,-1
akMyeFVkVGpxU0E=,12,423.114,476.43600000000004,21
akMyeFVkVGpxU0E=,13,478.068,487.058,59
QmQ5MFZDMElMRlU=,0,0.469,18.348,16
QmQ5MFZDMElMRlU=,1,18.398,29.133,6
QmQ5MFZDMElMRlU=,2,31.329,56.253,74
QmQ5MFZDMElMRlU=,3,56.523,64.291,-1
QmQ5MFZDMElMRlU=,4,65.203,82.604,74
QmQ5MFZDMElMRlU=,5,82.634,100.827,-1
QmQ5MFZDMElMRlU=,6,103.481,120.922,73
QmQ5MFZDMElMRlU=,7,120.952,143.89600000000002,0
QmQ5MFZDMElMRlU=,8,143.946,158.10600000000002,82
QmQ5MFZDMElMRlU=,9,174.969,186.709,6
QmQ5MFZDMElMRlU=,10,191.151,243.25400000000002,16
QmQ5MFZDMElMRlU=,11,244.064,253.67000000000002,71
QmQ5MFZDMElMRlU=,12,258.118,308.94,-1
YnZEbFFkRFlwQ1U=,0,0.269,46.727000000000004,-1
YnZEbFFkRFlwQ1U=,1,47.257,58.593,-1
YnZEbFFkRFlwQ1U=,2,58.623,90.71499999999999,-1
YnZEbFFkRFlwQ1U=,3,90.925,124.684,-1
YnZEbFFkRFlwQ1U=,4,129.537,250.726,-1
YnZEbFFkRFlwQ1U=,5,251.698,278.607,3
YnZEbFFkRFlwQ1U=,6,283.456,395.279,-1
