video,topic
WnV2ckhVOGp1NUE=,0
akMyeFVkVGpxU0E=,1
QmQ5MFZDMElMRlU=,2
YnZEbFFkRFlwQ1U=,5
ckhodDNLVEN3Ykk=,3
TTVqN1JwNnNrOGs=,1
ZDVYa3ZkeWRHNnc=,1
UU90aGsxSzlOdkU=,0
ZVhvU3kzbXI5bnM=,0
M2xxSXRrVFVqTFk=,2
Y0dsaWx4XzBfRFU=,1
bzR3bVV0cU5DNEE=,0
bFpHdV9UdkpObTg=,2
Z20tSXZ3dFYtQUU=,2
ZHNNclRBcUcwSEU=,0
THZWMlV5bE0wUEE=,1
MEkyay1wVm5INU0=,1
ZGdlaS16Zl8xdWc=,4
RjFCRkhPMWhGOWs=,4
YmNORlhybHRweGc=,0
T1RDQm9aMzNhUDQ=,3
U2pRMWlRRGFqNVk=,0
cUN2Ym1rbzc1LWM=,4
OFhSZEVLY2RiRjQ=,0
S2JIdXJUelcxRW8=,1
Yy1aQkhQU21ILWM=,4
VXp3c3Q3NlpmOGM=,3
bkQxaEFJRGxTUjg=,1
dWR4cEVkZUt3bkk=,0
ZU9WNURSMWItMlU=,0
RVViR04ybFh0YTQ=,0
ek43aVp0dTJZbUU=,0
bjh5Nmt6bWdnTlk=,1
V0ZPam44WENtNjQ=,1
SnI1bHQwaWQzRHM=,2
LUExMnRRYzFYZ2s=,0
ZHZ6LXpWS0EzV2s=,5
RUVjMlRMT0lMVTA=,0
bk9IRFMxQ1d4UGc=,1
UDhjbWtJSmlyS00=,0
SEFzblRVQ2FrLTA=,1
azZqN3NyUEdJVGM=,2
cGVmVU9ZNXdLcFk=,-1
RHFyaW9EYzlMRUk=,0
S054a045Z2pDRVU=,2
SUVHS2pqclRyQ3c=,0
SFpELVZxakZzMHc=,2
RzNnNHEtNVZyS1k=,0
Y3hGbjZvMUJKcEk=,0
eW45NUMxUWtxY0U=,1
dFcwUlRsam5qdlU=,5
b2dROUVSa1Nhbms=,2
Z2lMRGZWeHhBUkE=,0
SmItM2VkSFU2Rjg=,0
R0M1QzNKVkZBMVU=,1
V21mSTc5dWdrLVE=,0
aTQ0Q1RGd1JvOFE=,1
RGpKdDhvekh6QU0=,0
UE1ValZEMThzRWc=,1
d1J1TElGeHZnczg=,1
U2ZTcE5ISWIxRFk=,1
UTd5eVFDOEphU1E=,0
VnpWRm51OHlEOHc=,2
VzVnUDdxd3lFbXc=,2
eHdQQjVQeWxCY3c=,0
NDhzaVRCamFqMjA=,0
MXRFVWZfT0JwNG8=,0
aWgza1JMdjJWXzg=,0
MkEydGQtRlVWM2c=,0
QjJTUV9tTlFYeEk=,0
Ykk5N28tUzB0a1U=,1
UkdYdGJTalE5ZlE=,0
V3NYVmxvLTZPeEU=,0
MEdWZ3dlRXhIMVE=,1
dVZuaGJvLXdaR3c=,2
dkZYUE0wWVBKc3M=,0
a3p3RHdQLXJaWVE=,0
UW1pcDFEbmdjd1k=,1
WnRCcmhFNFpYNUk=,1
RTJUeEFMV2JtVGs=,3
SE1HbmtTdFlsSEU=,0
VE4wWUJHNW4tOEE=,1
VC1oUl9SeTBKQmc=,1
YjFPY1RjRHlUZ3c=,1
Tlc0TUlMQWdFekE=,0
bHVUYnlPZkFtOEE=,4
SUpUcWc1OXhPMTA=,0
WlpXM3UwSGkyTTQ=,1
S09wekhvU1JCQ1E=,1
bFhPOUEwWk5TSGc=,0
TUMzSzFzWkFDajQ=,2
WUFhN1hQc1JuaFk=,0
c0cxWmkwWVlkZm8=,4
aHlRcmx5eTU5bWs=,1
UUg3OE9KcEpXUG8=,1
N0hnR1BmX0EzS3M=,1
bWxjZF9Sa3V1T28=,5
MURRakR6MVNBaVU=,-1
WldMMHJnZ1RhQ0k=,0
VjRkclR2QVh1TFE=,4
eXN1ek9KVWttR2s=,1
R0dWR0NVTXdzazg=,1
dHQweEI5U1YwUUE=,2
UXI5V0dVRG9naVE=,0
QjQyMWw0U0QtZXc=,3
bDVHZ2NvdUQtdXc=,3
dVJhRThZYi1Gd1k=,2
SGFnVVY4ZWdWYTQ=,3
aldoQkROUEIyc3M=,0
bVBOai05ZmN2Nmc=,4
WFFIeFl0X2txdFE=,1
N3EtSmhJb0JvNkE=,1
NHNNSGZJZjBqZkk=,2
SHI2SWhRdGJPeEU=,1
eEFjdkdDNGQyNmM=,-1
ZEpTc3FLZGxzU1U=,0
RmpZTXQwaXpYQ2c=,1
cDFEYTBydmhHWVk=,2
OVYxRVdOZ3Z3NkE=,0
ZmtBOWZCZ2FadHM=,1
ODc3ZUViSV9vTzQ=,0
em9VZlV0WVI4MTQ=,0
NGlOQUdZeC1MdlU=,4
NWhwQm5BY1lSemM=,1
TVRib3QzVGQwbkE=,0
WlFpakNkLVNsY1U=,0
aGJHWW9jVHZMeTg=,5
VFhScFpOS1FsU1k=,0
VlhONnZRM1VzNG8=,2
WUN4VW5JdWdoUTA=,0
WmQwUldzRnJyT2s=,0
OFo4RHVkN2Nnc0k=,0
bjhxdzM4dkt5MWc=,1
azh4eWVqVmJzaTg=,0
d1p6dE9LdmRscjQ=,0
c2x6bHQ0M09HU0k=,5
ZzNQamhmRElGemM=,4
eWQwaWp1ZjFsd3c=,0
LUdZQ2lJdUJjQzg=,2
aWdpQWhLdnpZQ3c=,0
bVc1R1dUdGRIY0k=,1
QURob29DMDhuZmc=,2
MUJ0dzBudFoyYnc=,0
ZWNzY2JiMzRTSWM=,1
d3JWUy1PdmFUTTA=,0
a1RnQnhPQURoQnM=,2
S2tYejNjVUl6cEE=,0
LWVOMU56X0NsZmM=,0
bjhnYTJfLTE2akE=,-1
R0NvRjgzSzVZalE=,0
T29idHdTTnZrTkU=,1
Zzh3OVdnNlN6RWs=,0
dHYyOWNIaEJUalU=,4
aEdSajdVclJZek0=,1
SXhxQUxMdjZTdHc=,2
U2t4dWZrZzhrZGc=,5
RUF0TGkwZFBfR3c=,5
dk9qUEprMHBaMUU=,5
ZUFSa0NEZmxuZE0=,3
bW9ycEpiTTdPYVE=,0
YURxWV92T0dvUlk=,0
RFRJb21qdGt2SlE=,1
Nm5XZ1ZsUWNJbTQ=,0
M1IxbmVmR1VSTms=,1
MEgtekJiLS1qS2s=,2
THI3U0tzenhEQk0=,3
cXZHdjRoVkt5Ymc=,0
WENnYkR3ZXo0NFE=,1
Y2tXRm12OHJIQTQ=,1
SVRwUC1RUWhxeTQ=,1
MndVRjNxemNmYVk=,2
emFWc0xxdktJb1U=,1
azZVZjdMb0QyeHc=,1
XzhOWG9EMk5PX3M=,0
VU5TX3ZmQVI0LUk=,2
TkJpc2ljbGJpV2M=,2
cWdHdUttV2Q1eGc=,2
QlJjajBCbTNvTnM=,1
bXJTd3Z1ZVg1N0U=,0
cVg2MWRRbHgxSEk=,0
c0FiRGkyUE1ucVE=,2
WkEzVUJzd2lkSjQ=,0
Tkg0RFAwdWNGazQ=,1
V3hIRmo2OEp4Mm8=,1
cE1XQjd0LU1ENEE=,1
REJSOTVWRkVnS1U=,3
SVJiWTNqVkFrUlk=,0
MW5zNGczc29HNGc=,2
VWwzV3VhOWVSYXc=,0
R1ltTDlWNUo4THM=,0
WFNXOGI3VTMzX1k=,0
czV1ZjJzbmZvU1U=,5
Ym4xTkhMR2lESlU=,0
SnVtbWI5b1pRSzA=,0
c0lWcDZWazdicGs=,0
QUx5TnYzVmVsZE0=,1
Wkl0QzIwTzFacVk=,1
X0JIUFhyN2hEUUk=,0
bVYyQ1VoR0JSdE0=,0
S2dIaEN5MUJ2YVU=,4
a0FSNE5GNUxpZnM=,0
RlpFQlJRNWJEUUk=,5
endBU0kzVGJKemc=,0
eXJNYW1kcGNKUjg=,0
SE9TMmRJX0lKVjA=,0
bjRnQWhzNWJQa3c=,0
R0xzM2FVVE9sc00=,2
djhVWHVXNzBYeDg=,2
RjVlTDFGYnJMSlU=,5
ZlFNc1NjMXNTT3c=,1
U1A0WGtqUEQwT0U=,0
d0s3YUkyWGZBQzA=,1
QjhLWjA4MFhzWjQ=,1
T1FFX3BHQlN6SGc=,1
Mzh4dlhuWjh2dmM=,0
NEhXVHRLTlpPbnM=,0
RmRRWmRjTE1iLVk=,0
STNJbHMzWWdMeDg=,1
UFhkM09jTTFzMFk=,2
ck1oWXdLRGFqRUk=,3
LUZmR083aFdlNnc=,0
UFUxZFNudUtQQWc=,1
UWxkVjFpTDk3bVk=,1
YnhaQWlmM3pxYUE=,4
S3h3Q2w1eW5wT0E=,0
WHR3U1JiZlpOQ2c=,0
aTFTUW14dnAta2c=,1
S1JYWUhrbnVJUUE=,0
dnBrYkd6UFhTalU=,4
dHR6djBqMTB0cmc=,0
am9YelFHbTR6cnc=,5
aWNFTV8tVjlhYVk=,0
VXRpVEJaTXNSZ3M=,1
ZThKTlQxc2ZwdkE=,5
bXMycG1UdEE2TFk=,0
dE9rTUtoWEROblk=,0
RzBtR29zaEVVeE0=,1
Q2oxRGQ4LVFlU2s=,5
U09xeUpVc1BvWXc=,1
eUwyaS1OOGVzZ0U=,3
MFFLN3ZHNTExS0k=,1
cnduUkVlMjlpbDA=,1
VVkwaXRMNFZSMFk=,0
MXI4emN2VnZpVE0=,0
THlyODhPSDU3aW8=,1
X09CWEJscERCSVE=,3
ZGdpX3ZudEd4NVk=,1
cTFZWkZaWmFZSjg=,0
bGhMTXRxVzVPWFU=,1
Q1oxQlZKek92UEU=,1
Y2doQXh6Wmd6SHc=,2
am90RGRGQ3ZYU28=,-1
dVhON1RvT3VDX28=,0
d21pVm00REJVOXc=,1
Sk9jNzdiZi0tNjQ=,5
a2lDTGQwZUd1Nkk=,1
YzR4cXNIMExvbGs=,0
XzUzeHFhTnZsZXM=,3
dzdxNExjVVNIRlk=,1
Smc0OFJ2WGg1UGc=,0
MWtWck5vUUg5MnM=,5
NkRyMk9HWFNjX1U=,0
azZOYlFaZ3FlZE0=,4
UjRDTVJiNG9iLUk=,1
US1tVmF0VXQ3QTQ=,4
WGtYVVB3R0RDbkU=,1
QnZjT2UyT3NMUmM=,1
VkVKbnoxcWdCa0U=,2
dVVqNkNfbU5lLVk=,3
ZFJBd2ptOGVVcGs=,0
TVplVWFGQk5pYWM=,0
MjJUNzRxTkIwenc=,0
X3Bjbzh5R0U5Q1k=,3
ZkpPLW55TmI0dWs=,1
c1FpUjdhZngzLW8=,0
bWF5dTRUeE5vT1U=,1
dkZsU1hNMzJ3QXc=,0
cFBUVzVKckE4cjQ=,1
MEI0eVBIS0JqSW8=,0
MEs1UmI3d3llcm8=,0
STF2a0k4V1ZWbjg=,1
Nm5oUXBkWUxxU28=,4
YVRSSDcteGEwSkk=,0
WFlsdG1XeGhXeVU=,1
OTBQTzd1ZTd0ems=,1
N1c5c1FsT0cxdm8=,0
dUJoemRydy12Wnc=,1
YXNqVTQtVWdMbVE=,5
ZE9vYlJDTGd4YXc=,2
NDQ3RUJUczRkTE0=,3
ZGI4SHdUbUpGc2c=,0
d1JaNXZDdFFDWGM=,1
U2hLX19MTkhmNFk=,1
YXpyZ1RiTlljYXM=,0
Nmlva1ZsQ19lZVU=,1
elpFTW8tZDR3RjA=,0
Zl9NWVBsUHlTLWM=,3
YjJiTGcwaG1ndTQ=,3
NkJkWGp3VUVqSXM=,0
S3EwSTR1TjNPdDA=,0
UThlbHdKeFh4WE0=,2
ekN0SllzYVhQN0U=,0
RGpXVW90cTdQWDQ=,0
VjB6QXEwNWxJZDg=,2
Q01fd2VHRUsySEk=,2
ZzZ3VUFaM2pBdGM=,2
ZER0b1FreVdGM1E=,1
R1JJdFQ5ZVBFd3M=,1
OU5wdHFsRTRKaTQ=,0
bU4zN09RNURUdnc=,0
eWFydk5iMGE5eDA=,0
cGw0ZlRuTWgtMzQ=,0
UExrYzY4aEh1cWM=,0
dXBGaHJDLWpyekk=,0
RHF4SWpxUzNwVFE=,2
RVVIQlZWSmlzckU=,0
MFlucnRQYzNKV2c=,4
aWl5ZUVYcFdFdzg=,1
NWdfZDVrY0RnbFU=,2
ck5DRm1WOUk5cG8=,2
czQzNXdRam05UVE=,3
OEhZSDVZalFCUjQ=,0
WkZMdXRDSU01bmM=,1
RUNKMVpjNHdObms=,0
R0I2VDlucW5sNlk=,0
YTdmY3RrRlp2YXM=,1
aWtpcnM5ZHloZ0k=,0
Q09lU2NONlNmU00=,2
U2wxdTBzeEw0VWc=,3
cV9FNUhXS2VHejg=,1
b09DZFlzOVR2VkE=,4
Y3Jwc0RFaWxGblU=,1
NUdaaFVSYldxckU=,1
cXVXbXU2bDdlak0=,0
RmZZZGE2QUk2T2c=,4
Ri12RVp3OUZpSTA=,1
dEdUdURKTTFhbGs=,2
YmRMTmpDQnJYMWs=,0
YTVhYVltcUR3MjQ=,0
Zl85czJOTWlHcWs=,3
SG5HbmxvYzY1SHM=,0
Z1dZZnVCY2tMcE0=,1
OFMtbjRBM3JkTVk=,0
V0gxcGdZTkFlcVE=,2
aXNQUVlySDJZX3c=,1
a1NVVFM0SVBOXzQ=,1
T0VQVGpBbDNpTGc=,0
dHZlQ08xMUloc1U=,2
MEMtRVo4ZmxyUnM=,1
UFVQaUVYZzFfT2s=,4
Q25JQWpHSTdkbjQ=,0
M3pCV0NQRkVhejg=,0
bGhBajVlc1hFemM=,0
TG0tbUhCczhIY0k=,0
MzI4NGxfMmtuMUU=,4
c0huYi16Y3BmXzA=,2
RF9sTmVGTWFCZkE=,1
azQxU3pDMmp1bW8=,0
U28tYjZBMmxOQVk=,3
bmRoUUM1cG9pTVE=,0
Ykd1Z002Ny1CQTg=,1
Q2RiRDF6eThNeUE=,1
VjB3XzczbU1oVTg=,0
Z2ROT0NqaG9qbmc=,1
ZGhyWndIYld4cEU=,0
ZE9BTUpSajhyZ3c=,0
WGZfZEp6dHZ2WTQ=,1
c1MzOVVhbWxmaTg=,3
NXNrV3RBOFNVcGs=,0
aGZ2MGlEa3lJS2s=,1
dl81eGNBaERyV1k=,0
c05Pd0g0Tmc5UTQ=,0
MmJtUlhwNUtJSHM=,1
dGVHM3pxRmc4VnM=,1
Y1pwMl92ZTlaTGM=,1
TmtCOU1DN3FZUTg=,3
SVdhN3lPWHBPRUk=,5
OHRia1lNXzRBRzg=,0
bUJrZUIxYmwtclU=,0
WXZtQVJ5TnpUbmc=,0
YWFCTW1OYVNrQms=,2
YlZ5TF9JNXYwUnc=,1
aTdpRHJacGRqc28=,1
T2JfX3BReHpwUzQ=,0
dXNuTEl0QmlXWG8=,0
MmpJRGFncG9Qb2c=,1
RTkyX0VlYlR3YjQ=,1
MF9wZk5XeW1taTA=,2
WDd1OXVwa0hyb1k=,0
VjliWmpzaFZjUkk=,1
OFlvdk5XcEY5b1k=,0
R0hkalFnUmw2bU0=,0
YndHS045RnB2V1E=,2
WjdFbE9rQU1FaE0=,0
dU93cW1GcnJBR2M=,3
b1ZXNHVfeWRkZ2c=,1
RkJTWUxjTVZJcjQ=,4
OEtoTy1CT0V5Rlk=,0
OXJnWnFOZFRzRms=,0
b2VIbDR2aDd6ODQ=,-1
NElaTnNTQ0JHZlE=,4
OGlLYzhPSDE4UUk=,1
RlZUMGh0Y1NkbEE=,1
TVpGSVBvelBLMDA=,1
WDduNV9CaUJzMkE=,1
eVI1YXNaSEV0dG8=,3
Z2FQbndxUHd5QlE=,0
M2ZBSTNXVUpUZUU=,1
QXd4bkNxbUxEODA=,0
SnZLM0c0eDBpTmc=,1
Nm5iS2JiQ3JMTlU=,0
RUJSejhfQ1ozc2s=,0
TTZPZVhVcWZzcnM=,0
QVR2d2pjdF90ZzA=,1
WjdmbFE1REhBX2M=,0
T3d3VENWLXNBRUk=,0
T1lsOHh6ajN1VU0=,5
Z200T3VJdWlrNG8=,1
dGlhRHA4UUtReGs=,-1
dDVUcVdCbndqTm8=,1
ajhTeVVGcE1kYnM=,0
cHFUZ1ZUZm10Skk=,2
U1MydGN4cUVsZUE=,1
WlNKWHU0dnBleWc=,5
S0R5S05VSjFjTW8=,2
SEJ3VmRMZ05tR2M=,2
a3k4Y1FpM2tTdzQ=,2
cHJxWWZXTVNrU2M=,0
TlFoS1BpUFV4N00=,1
ZUNFZmVicGNhMjA=,0
aWFMbjBPZENKS3M=,1
ZlR2RUx2S3BVSWs=,4
c0VlRHR3MG1hUUE=,1
eGVEdFRkSFZ2N0E=,0
NWJZd2JRZ3RraGc=,0
U3R2Y05MdTUwVFU=,0
QkNYcUhFSlJ5T0E=,1
SGdoSEY2MzJRSk0=,1
ME8xd0VHTWNRNGM=,1
TGYxaGxjaHdHMDQ=,0
SmZSTDdtLUxxZWs=,2
Ymd3YlRmUjhhVDA=,5
Mlh6SmRHS0RUd1U=,1
dkU3cWFhb3ZJMms=,1
QjZRTGhBbDQwb0U=,2
cEI4Rm1MUFdOa2M=,1
Q0V1dXhvcUJPQVE=,0
eXZQeDdqUzJYbkE=,0
NldTaUx6MFZOU0U=,2
UjdVTkJ4WkgwcTg=,0
cGtORHB6YUN0RE0=,1
akNtMEY3emxFTzA=,0
MnlnZktPRXhjUmM=,2
bEU1MWIwVnVObzg=,2
Y0poWUVuSldueEE=,0
YkJYdVN4OXZJNWc=,0
a01ZcXVCQjRCUTA=,0
UUl5NUNITDNSbWM=,1
MTVpSl9DMHhqYjA=,5
Y2gzeFgwNkx3ckU=,5
dEg3eE9CbjBtYVE=,0
czFGeXBORjRPdFU=,4
cGJ6cF83VWtfdkk=,2
S0R5SmR3V3VNM0E=,0
MjBHMWxNa2xENFE=,0
ZnFyM2NlZkM3VGs=,1
d3g2QWtYMjR5elU=,0
QmtEX2N1RF92c0U=,2
Rm1BUEppeUFBN2c=,4
QXUxWTBXMENxNTA=,4
eGJkUEpKSGZkZUE=,2
eWRCSE9DU1lyS3M=,3
Tk1nUWtLNmlhVjA=,5
UzB5ZE1aRThmUWs=,2
T0tVR0Zac2VvelU=,2
dm14UW9TV2hjTEU=,3
Zi0tLVhUMVRJMWc=,1
