,filename,channel
0,aWlRVENGeDhXSEU=.mp4,BILD TV
1,dFYtbWF4NGVIdzQ=.mp4,BILD TV
2,SmJkU3ZFRWpJWjg=.mp4,BILD TV
3,VjdOTUtGc3NpVmc=.mp4,BILD TV
4,TDVDZFZ3cFJlcWs=.mp4,BILD TV
5,c3gxRVRoMFd5V1k=.mp4,BILD TV
6,TUZyYUdWaXZZMFU=.mp4,BILD TV
7,dXNxTWd2S255X1U=.mp4,BILD TV
8,MTJYY2JIU1l0VEU=.mp4,BILD TV
9,eDlySlJ4ZWNNajQ=.mp4,BILD TV
10,RE5QNFk5eWhsa1U=.mp4,BILD TV
11,RnRZNURoT05qVm8=.mp4,BILD TV
12,Wlh4S041YmYzbjg=.mp4,BILD TV
13,RDVhREs3WWZ4YkE=.mp4,BILD TV
14,aHlnREEzZlpraHM=.mp4,BILD TV
15,Q0h3NlVmWkppNE0=.mp4,BILD TV
16,R283dWJUQ1R6SUk=.mp4,BILD TV
17,Z0dVd0h3NnlmWGs=.mp4,BILD TV
18,VEtzM2ZiaEw3VWM=.mp4,BILD TV
19,TWhpWXRLb2F4T00=.mp4,BILD TV
20,MndLaHhnWXJ6QTg=.mp4,BILD TV
21,TDcwS2FRcEVvbXc=.mp4,BILD TV
22,MUZiTUFpOWNVM28=.mp4,BILD TV
23,OTRNS3RBLThtZlE=.mp4,BILD TV
24,blRCUWpLay1WNkk=.mp4,BILD TV
25,ODhXRS1zVlloRFk=.mp4,BILD TV
26,aEJVTFZyZkR0SmM=.mp4,BILD TV
27,YzRSRmZXUmpYSGM=.mp4,BILD TV
28,djZubVRvQ1dLTUU=.mp4,BILD TV
29,Q19mdzctaG5TMlk=.mp4,BILD TV
30,Mlh1ZVB6bEo4X3M=.mp4,BILD TV
31,MU5aX2s1RVF4MTA=.mp4,BILD TV
32,UGg5LXQ1OEpLczQ=.mp4,BILD TV
33,a0hJR3I1VFJpRXc=.mp4,BILD TV
34,VnEyN0pITFBqb3c=.mp4,BILD TV
35,Z09oWFNZLVEybUE=.mp4,BILD TV
36,UVRPVXotNmhlN28=.mp4,BILD TV
37,LXN2Vi1kbW9EeG8=.mp4,BILD TV
38,LXVacEl5UFdzRzQ=.mp4,BILD TV
39,S3RSLWdYU1lDWlk=.mp4,BILD TV
40,bFBrNlpVa1FFZVE=.mp4,BILD TV
41,MGtQcTBXVlptOFU=.mp4,BILD TV
42,MFZSS0Q4RFJ0NlE=.mp4,BILD TV
43,ZnAyMHJydE1ZN2s=.mp4,BILD TV
44,cUNNOE9fMkNzdnM=.mp4,BILD TV
45,M2NRdTBydFgxa3M=.mp4,BILD TV
46,NUw4Q3lLWUZWdGc=.mp4,BILD TV
47,MUQxTkc1c0J2OVU=.mp4,BILD TV
48,R2N2TWZJTzRzQzQ=.mp4,BILD TV
49,YXZONGdUVzJ2Y2c=.mp4,BILD TV
50,ZTBad1RzcHJuV2M=.mp4,BILD TV
51,NUtHZ1A0Zi03VWc=.mp4,BILD TV
52,azMyTGlNTmRGYm8=.mp4,BILD TV
53,S2tiNU50bnRadDA=.mp4,BILD TV
54,LVFsel9KV3JQam8=.mp4,BILD TV
55,eWpRankxS29VenM=.mp4,BILD TV
56,N09lb3MtNkZnbFk=.mp4,BILD TV
57,QnNHSnN4aFNFeGc=.mp4,BILD TV
58,UEdTRm9sTkFhdWc=.mp4,BILD TV
59,NHE4YzRIRmJVanM=.mp4,BILD TV
60,TDV4aHUyWWM5dnM=.mp4,BILD TV
61,YkJiOXBLWjFqZ1E=.mp4,BILD TV
62,SWxCak5yazN0akE=.mp4,BILD TV
63,OEIzRFZ2eFBKNzA=.mp4,BILD TV
64,TjYzcGRHM055RUk=.mp4,BILD TV
65,dGlOMU4weU5ucHc=.mp4,BILD TV
66,UnM4Nkd6Wi16LXc=.mp4,BILD TV
67,c2xCOEVoZ3BJak0=.mp4,BILD TV
68,bFZ6WHhhejc3UDQ=.mp4,BILD TV
69,TV9IbVRSR1djVWM=.mp4,BILD TV
70,czVyN1hJbWNEeEU=.mp4,BILD TV
71,N0VuS01jalBsbzg=.mp4,BILD TV
72,ZTdTdnI4UTV1UkU=.mp4,BILD TV
73,OV9CV0llWm9qaWs=.mp4,BILD TV
74,VDJSMzRaYkJSUnM=.mp4,BILD TV
75,WDFvVm1jcXBoOVk=.mp4,BILD TV
76,YXRFcXZpSGlUekU=.mp4,BILD TV
77,aWNKeldVSTRYSmM=.mp4,BILD TV
78,Mnp2YldaWlo2QXc=.mp4,BILD TV
79,bmZVa0ZhdklMSFk=.mp4,BILD TV
80,dE1sbnFRcnNER2M=.mp4,BILD TV
81,VGM5X1BwZ3dMYnM=.mp4,BILD TV
82,Y3ZHZk9hSHl6RDQ=.mp4,BILD TV
83,TVdjRERDSVdkZzg=.mp4,BILD TV
84,MlE5RVlBUVNhM0U=.mp4,BILD TV
85,S1BtbUdaV1Z6cVk=.mp4,BILD TV
86,eGlzamhOaTZyWjg=.mp4,BILD TV
87,dmV2clljLVJLd0E=.mp4,ZDFheute Nachrichten
88,VndyLXM3QndydFk=.mp4,ZDFheute Nachrichten
89,eVVBWkxSa28ybXc=.mp4,ZDFheute Nachrichten
90,MUF1ell5bjVFWjQ=.mp4,ZDFheute Nachrichten
91,aVlzR1QwUjFZS0U=.mp4,ZDFheute Nachrichten
92,XzNqOGVVOHdUcDA=.mp4,ZDFheute Nachrichten
93,cV9Ybk9kLW5hb3c=.mp4,ZDFheute Nachrichten
94,d2dfYmYwRnVOTnc=.mp4,ZDFheute Nachrichten
95,Q3FaRHg4M1dlN3c=.mp4,ZDFheute Nachrichten
96,c0IyTzJZTWRBYlE=.mp4,ZDFheute Nachrichten
97,cFlNdUpFckpQOTA=.mp4,ZDFheute Nachrichten
98,d1N6by1fZzhrWFk=.mp4,ZDFheute Nachrichten
99,dDdKWm5mcVY0VFU=.mp4,ZDFheute Nachrichten
100,ZzRFZFk0alQ5cnM=.mp4,ZDFheute Nachrichten
101,RDBINmllZWVaMnc=.mp4,ZDFheute Nachrichten
