,filename,channel,day,month,year,weekday
3,VjdOTUtGc3NpVmc=.mp4,BILD TV,1,9,2022,Thursday
8,MTJYY2JIU1l0VEU=.mp4,BILD TV,26,4,2022,Tuesday
9,eDlySlJ4ZWNNajQ=.mp4,BILD TV,8,12,2022,Thursday
10,RE5QNFk5eWhsa1U=.mp4,BILD TV,14,7,2022,Thursday
13,RDVhREs3WWZ4YkE=.mp4,BILD TV,21,2,2023,Tuesday
14,aHlnREEzZlpraHM=.mp4,BILD TV,11,10,2022,Tuesday
15,Q0h3NlVmWkppNE0=.mp4,BILD TV,7,9,2023,Thursday
18,VEtzM2ZiaEw3VWM=.mp4,BILD TV,8,3,2022,Tuesday
23,OTRNS3RBLThtZlE=.mp4,BILD TV,3,11,2022,Thursday
29,Q19mdzctaG5TMlk=.mp4,BILD TV,15,8,2023,Tuesday
30,Mlh1ZVB6bEo4X3M=.mp4,BILD TV,14,11,2023,Tuesday
31,MU5aX2s1RVF4MTA=.mp4,BILD TV,7,6,2022,Tuesday
34,VnEyN0pITFBqb3c=.mp4,BILD TV,7,6,2022,Tuesday
38,LXVacEl5UFdzRzQ=.mp4,BILD TV,30,6,2022,Thursday
39,S3RSLWdYU1lDWlk=.mp4,BILD TV,31,3,2022,Thursday
40,bFBrNlpVa1FFZVE=.mp4,BILD TV,22,2,2024,Thursday
42,MFZSS0Q4RFJ0NlE=.mp4,BILD TV,1,9,2022,Thursday
43,ZnAyMHJydE1ZN2s=.mp4,BILD TV,28,6,2022,Tuesday
45,M2NRdTBydFgxa3M=.mp4,BILD TV,8,3,2022,Tuesday
46,NUw4Q3lLWUZWdGc=.mp4,BILD TV,5,5,2022,Thursday
48,R2N2TWZJTzRzQzQ=.mp4,BILD TV,12,4,2022,Tuesday
50,ZTBad1RzcHJuV2M=.mp4,BILD TV,31,3,2022,Thursday
51,NUtHZ1A0Zi03VWc=.mp4,BILD TV,10,3,2022,Thursday
52,azMyTGlNTmRGYm8=.mp4,BILD TV,21,2,2023,Tuesday
53,S2tiNU50bnRadDA=.mp4,BILD TV,3,3,2022,Thursday
58,UEdTRm9sTkFhdWc=.mp4,BILD TV,7,4,2022,Thursday
59,NHE4YzRIRmJVanM=.mp4,BILD TV,17,5,2022,Tuesday
63,OEIzRFZ2eFBKNzA=.mp4,BILD TV,15,9,2022,Thursday
65,dGlOMU4weU5ucHc=.mp4,BILD TV,22,3,2022,Tuesday
67,c2xCOEVoZ3BJak0=.mp4,BILD TV,11,7,2023,Tuesday
69,TV9IbVRSR1djVWM=.mp4,BILD TV,31,3,2022,Thursday
71,N0VuS01jalBsbzg=.mp4,BILD TV,14,7,2022,Thursday
72,ZTdTdnI4UTV1UkU=.mp4,BILD TV,18,8,2022,Thursday
73,OV9CV0llWm9qaWs=.mp4,BILD TV,3,3,2022,Thursday
75,WDFvVm1jcXBoOVk=.mp4,BILD TV,25,8,2022,Thursday
77,aWNKeldVSTRYSmM=.mp4,BILD TV,24,3,2022,Thursday
78,Mnp2YldaWlo2QXc=.mp4,BILD TV,10,3,2022,Thursday
80,dE1sbnFRcnNER2M=.mp4,BILD TV,12,5,2022,Thursday
82,Y3ZHZk9hSHl6RDQ=.mp4,BILD TV,21,2,2023,Tuesday
83,TVdjRERDSVdkZzg=.mp4,BILD TV,14,7,2022,Thursday
98,d1N6by1fZzhrWFk=.mp4,ZDFheute Nachrichten,11,7,2023,Tuesday
99,dDdKWm5mcVY0VFU=.mp4,ZDFheute Nachrichten,10,3,2022,Thursday
100,ZzRFZFk0alQ5cnM=.mp4,ZDFheute Nachrichten,30,5,2023,Tuesday
106,YVhldmd4T21OSkk=.mp4,ZDFheute Nachrichten,7,12,2023,Thursday
110,UEx3SXpPMkc1ejQ=.mp4,ZDFheute Nachrichten,9,3,2023,Thursday
111,REhjRFF3Ym91VVk=.mp4,ZDFheute Nachrichten,7,6,2022,Tuesday
112,V0FJNWlQa3RlaDQ=.mp4,ZDFheute Nachrichten,15,2,2024,Thursday
113,ZUQ4cWR5OTV0RGM=.mp4,ZDFheute Nachrichten,1,8,2023,Tuesday
122,TG90VlpGdnRtTEU=.mp4,ZDFheute Nachrichten,20,9,2022,Tuesday
123,R1FRZG11UFhtS1E=.mp4,ZDFheute Nachrichten,21,4,2022,Thursday
126,WVk1TXlJSnl5YkU=.mp4,ZDFheute Nachrichten,5,4,2022,Tuesday
127,ME9Hc3lFSEc2Y0E=.mp4,ZDFheute Nachrichten,16,3,2023,Thursday
130,TXU0SFMxUkk1bkU=.mp4,ZDFheute Nachrichten,17,1,2023,Tuesday
133,T2ZmaHdqQndhSFE=.mp4,ZDFheute Nachrichten,4,8,2022,Thursday
138,ai1Jc0lFMEM0M0k=.mp4,ZDFheute Nachrichten,30,3,2023,Thursday
147,Q0ZicXdnS3ZRa2s=.mp4,ZDFheute Nachrichten,19,9,2023,Tuesday
148,LUhXTjlRZnVQbnM=.mp4,ZDFheute Nachrichten,11,7,2023,Tuesday
149,eWNFbUxJeEUySTA=.mp4,ZDFheute Nachrichten,24,3,2022,Thursday
150,bmFmb01ybUd0bFU=.mp4,ZDFheute Nachrichten,12,12,2023,Tuesday
153,X2ZsYUVlNDl0aHc=.mp4,ZDFheute Nachrichten,21,4,2022,Thursday
156,Q1oyYnB1QzhaWWs=.mp4,ZDFheute Nachrichten,12,12,2023,Tuesday
157,SG5Da0o3ZVI5b3c=.mp4,ZDFheute Nachrichten,5,5,2022,Thursday
162,NzZQdlRIdVNsd28=.mp4,ZDFheute Nachrichten,20,6,2023,Tuesday
163,UkFZNjZtUTZaV1k=.mp4,ZDFheute Nachrichten,24,3,2022,Thursday
164,RXZjZGhhdF9ycWM=.mp4,ZDFheute Nachrichten,12,4,2022,Tuesday
168,TnpkWWozZWNTSnM=.mp4,ZDFheute Nachrichten,28,9,2023,Thursday
169,XzN1Wm0wVFFvSDA=.mp4,ZDFheute Nachrichten,8,6,2023,Thursday
172,OGpiU2JVbExvWk0=.mp4,ZDFheute Nachrichten,7,6,2022,Tuesday
174,WUU4a2RhRVV5NjA=.mp4,ZDFheute Nachrichten,13,2,2024,Tuesday
180,WERHeVBLRllHTzQ=.mp4,ZDFheute Nachrichten,23,6,2022,Thursday
181,VFFiaGhmOVlnZVk=.mp4,ZDFheute Nachrichten,16,3,2023,Thursday
184,MUE0ZEpfcDJRSk0=.mp4,ZDFheute Nachrichten,21,4,2022,Thursday
188,dXVXR1ZieXBrUlE=.mp4,ZDFheute Nachrichten,15,8,2023,Tuesday
190,UFdFcGtWaG1nUkE=.mp4,ZDFheute Nachrichten,15,8,2023,Tuesday
191,dThwd2duSlhfNFE=.mp4,ZDFheute Nachrichten,21,2,2023,Tuesday
192,dFcwUlRsam5qdlU=.mp4,WELT,24,2,2022,Thursday
193,RUVjMlRMT0lMVTA=.mp4,WELT,24,8,2023,Thursday
198,a1NVVFM0SVBOXzQ=.mp4,WELT,22,3,2022,Tuesday
203,c2x6bHQ0M09HU0k=.mp4,WELT,10,2,2022,Thursday
209,QnZjT2UyT3NMUmM=.mp4,WELT,8,3,2022,Tuesday
210,RVVIQlZWSmlzckU=.mp4,WELT,8,2,2022,Tuesday
216,SnZLM0c0eDBpTmc=.mp4,WELT,3,3,2022,Thursday
222,VWwzV3VhOWVSYXc=.mp4,WELT,25,1,2022,Tuesday
223,b2VIbDR2aDd6ODQ=.mp4,WELT,20,1,2022,Thursday
224,ZGhyWndIYld4cEU=.mp4,WELT,15,3,2022,Tuesday
226,bU4zN09RNURUdnc=.mp4,WELT,8,3,2022,Tuesday
233,UDhjbWtJSmlyS00=.mp4,WELT,9,2,2023,Thursday
236,cGw0ZlRuTWgtMzQ=.mp4,WELT,10,5,2022,Tuesday
239,dHR6djBqMTB0cmc=.mp4,WELT,10,3,2022,Thursday
250,ZThKTlQxc2ZwdkE=.mp4,WELT,17,3,2022,Thursday
254,RGpXVW90cTdQWDQ=.mp4,WELT,5,4,2022,Tuesday
260,Y3Jwc0RFaWxGblU=.mp4,WELT,3,3,2022,Thursday
261,OU5wdHFsRTRKaTQ=.mp4,WELT,24,2,2022,Thursday
264,emFWc0xxdktJb1U=.mp4,WELT,29,3,2022,Tuesday
266,a3p3RHdQLXJaWVE=.mp4,WELT,15,2,2022,Tuesday
267,ZHZ6LXpWS0EzV2s=.mp4,WELT,17,2,2022,Thursday
269,ck1oWXdLRGFqRUk=.mp4,WELT,6,4,2023,Thursday
277,UUpxR3lpcTJGSXM=.mp4,BILD TV,28,11,2023,Tuesday
278,TEw1cDdIdlhmbXM=.mp4,BILD TV,10,3,2022,Thursday
283,TTVqN1JwNnNrOGs=.mp4,WELT,17,3,2022,Thursday
284,SzltWnJGNkpEWlk=.mp4,ZDFheute Nachrichten,20,7,2023,Thursday
286,UjNCNEFkUUZkRTA=.mp4,ZDFheute Nachrichten,15,2,2024,Thursday
291,NzhaTklsVTM5c2c=.mp4,ZDFheute Nachrichten,17,1,2023,Tuesday
292,MXRFVWZfT0JwNG8=.mp4,WELT,24,2,2022,Thursday
294,d0s3YUkyWGZBQzA=.mp4,WELT,5,4,2022,Tuesday
296,Nmlva1ZsQ19lZVU=.mp4,WELT,3,3,2022,Thursday
298,bjNiUDZVYnlvWG8=.mp4,ZDFheute Nachrichten,11,7,2023,Tuesday
299,THhuVDE3R3JJZGc=.mp4,BILD TV,1,9,2022,Thursday
301,aEk0Y21sdmpRY3M=.mp4,ZDFheute Nachrichten,24,3,2022,Thursday
314,WUFhN1hQc1JuaFk=.mp4,WELT,15,2,2022,Tuesday
316,a0toRUp1b1dPMWs=.mp4,ZDFheute Nachrichten,28,3,2024,Thursday
318,MWhRbXIxbUZrc3c=.mp4,BILD TV,8,3,2022,Tuesday
319,MzMwSVh4VHR2OUk=.mp4,BILD TV,12,4,2022,Tuesday
325,U1FrWVZVMkIxVkU=.mp4,ZDFheute Nachrichten,5,12,2023,Tuesday
327,WGZHXzVtemYtcDA=.mp4,BILD TV,28,4,2022,Thursday
330,M282cHQ4Z0E2M28=.mp4,ZDFheute Nachrichten,23,8,2022,Tuesday
332,TWgwTVlfbTBFRDQ=.mp4,ZDFheute Nachrichten,21,6,2022,Tuesday
333,M1ZudUpacHJLcEk=.mp4,ZDFheute Nachrichten,17,2,2022,Thursday
335,ZVhvU3kzbXI5bnM=.mp4,WELT,6,10,2022,Thursday
337,bGhBajVlc1hFemM=.mp4,WELT,17,3,2022,Thursday
338,d3JWUy1PdmFUTTA=.mp4,WELT,20,9,2022,Tuesday
340,ekNyY3lwUko1OTA=.mp4,ZDFheute Nachrichten,4,8,2022,Thursday
342,TGZBaUJ6R0tyX3c=.mp4,ZDFheute Nachrichten,11,8,2022,Thursday
344,Z2w5Ry1EMFlsOFE=.mp4,ZDFheute Nachrichten,25,7,2023,Tuesday
345,NlBydUdodFViQVU=.mp4,BILD TV,12,10,2023,Thursday
347,ZjZzendHVlhhLW8=.mp4,ZDFheute Nachrichten,2,11,2023,Thursday
360,ckhodDNLVEN3Ykk=.mp4,WELT,10,3,2022,Thursday
361,eWRCSE9DU1lyS3M=.mp4,WELT,8,3,2022,Tuesday
363,cXZHdjRoVkt5Ymc=.mp4,WELT,24,2,2022,Thursday
368,Zl9NWVBsUHlTLWM=.mp4,WELT,5,7,2022,Tuesday
369,bGdERWJkbnBBSEE=.mp4,BILD TV,12,3,2024,Tuesday
370,T3EtWGk4ZzFUMms=.mp4,BILD TV,27,9,2022,Tuesday
373,UFVQaUVYZzFfT2s=.mp4,WELT,17,3,2022,Thursday
375,RWFNMl9hMXAwUzA=.mp4,ZDFheute Nachrichten,21,3,2024,Thursday
376,RUFHbmMtT1NoMGM=.mp4,BILD TV,2,2,2023,Thursday
382,bjRnQWhzNWJQa3c=.mp4,WELT,22,2,2022,Tuesday
388,Rnc4Nl82cXJMQzg=.mp4,ZDFheute Nachrichten,23,2,2023,Thursday
398,SmItM2VkSFU2Rjg=.mp4,WELT,31,5,2022,Tuesday
399,U1A0WGtqUEQwT0U=.mp4,WELT,17,3,2022,Thursday
403,Z0x1QmJvMmlxb1U=.mp4,ZDFheute Nachrichten,20,2,2024,Tuesday
407,SVBGd1RBeVdaSDg=.mp4,ZDFheute Nachrichten,25,10,2022,Tuesday
408,VFBHbmVvMWtaZHM=.mp4,ZDFheute Nachrichten,24,11,2022,Thursday
409,MjFNQ3pzdkNhdmM=.mp4,BILD TV,7,4,2022,Thursday
414,NG8xaDBERDB3cDg=.mp4,BILD TV,8,3,2022,Tuesday
416,MTVpSl9DMHhqYjA=.mp4,WELT,18,1,2022,Tuesday
420,bkFxVEE4ZGNFMmM=.mp4,BILD TV,10,10,2023,Tuesday
427,b1ZXNHVfeWRkZ2c=.mp4,WELT,10,3,2022,Thursday
428,eGg0SjNXNWdjdDA=.mp4,BILD TV,12,3,2024,Tuesday
431,MVVPekVRLUVSWE0=.mp4,BILD TV,15,6,2023,Thursday
436,TlZBcHNFbng2d3M=.mp4,BILD TV,27,9,2022,Tuesday
438,cmZhNGNIOGVjS3M=.mp4,BILD TV,22,3,2022,Tuesday
441,V0ZPam44WENtNjQ=.mp4,WELT,7,4,2022,Thursday
443,THlyODhPSDU3aW8=.mp4,WELT,7,3,2024,Thursday
444,cGY0QW5LUC1uMGs=.mp4,BILD TV,22,2,2022,Tuesday
446,dm12eVhzTEFZZmM=.mp4,BILD TV,11,10,2022,Tuesday
448,Z05rTGtDaXktZVU=.mp4,ZDFheute Nachrichten,8,6,2023,Thursday
449,Q2oxRGQ4LVFlU2s=.mp4,WELT,15,2,2022,Tuesday
455,M1pVX1RJQlU1bzQ=.mp4,BILD TV,15,9,2022,Thursday
458,bkNtek8tRm5qdWc=.mp4,BILD TV,10,3,2022,Thursday
462,S296V05PZlZhcTg=.mp4,ZDFheute Nachrichten,10,3,2022,Thursday
465,M0tBTllvYXpfNUU=.mp4,BILD TV,21,2,2023,Tuesday
466,NHZxaHBzYTNvems=.mp4,BILD TV,15,8,2023,Tuesday
470,dTVJTGNJV3ZiRHc=.mp4,BILD TV,24,3,2022,Thursday
471,Q1oxQlZKek92UEU=.mp4,WELT,3,3,2022,Thursday
477,NmpRc0xTbzFhR0U=.mp4,BILD TV,10,3,2022,Thursday
481,UUNVZGNTUXVlSTg=.mp4,ZDFheute Nachrichten,21,3,2024,Thursday
487,WDNzcDR6RFpCTHc=.mp4,BILD TV,30,1,2024,Tuesday
495,YVRSSDcteGEwSkk=.mp4,WELT,18,1,2022,Tuesday
498,TU41Mi1DMm1SWkk=.mp4,BILD TV,31,3,2022,Thursday
499,VjdYZHFnd3pfTlE=.mp4,ZDFheute Nachrichten,4,4,2023,Tuesday
505,c0tBc08yTlk4amc=.mp4,BILD TV,5,5,2022,Thursday
507,UE1ValZEMThzRWc=.mp4,WELT,8,9,2022,Thursday
512,TkkzT1JrTjVRaTA=.mp4,ZDFheute Nachrichten,20,2,2024,Tuesday
516,MExUbHZXclJLM2c=.mp4,ZDFheute Nachrichten,30,6,2022,Thursday
519,cXRIQ0dUa2lLbVE=.mp4,ZDFheute Nachrichten,21,2,2023,Tuesday
524,cWlFWnREQmZjYUE=.mp4,ZDFheute Nachrichten,8,6,2023,Thursday
528,ZmtzNHRYb0VsWnc=.mp4,BILD TV,21,2,2023,Tuesday
529,ZXVCeDNsZHV0ZGc=.mp4,BILD TV,12,4,2022,Tuesday
530,R3F5LVozOWl3dWc=.mp4,BILD TV,3,3,2022,Thursday
531,aXRJS3locmltYWs=.mp4,BILD TV,22,3,2022,Tuesday
534,NFNnRHFMcjAxc0E=.mp4,BILD TV,31,3,2022,Thursday
535,QWE1MUxVT00xaHM=.mp4,ZDFheute Nachrichten,3,8,2023,Thursday
539,eUp0ZTBDV0dtVVk=.mp4,BILD TV,3,3,2022,Thursday
544,dWZhYXpsOVYwSFE=.mp4,BILD TV,28,4,2022,Thursday
546,QTZBdkstVzFVbUk=.mp4,ZDFheute Nachrichten,24,3,2022,Thursday
548,bnFKMVNvVk1QZnM=.mp4,ZDFheute Nachrichten,20,10,2022,Thursday
559,OFp4MGYxVkI5YkU=.mp4,ZDFheute Nachrichten,25,8,2022,Thursday
561,SGxoZzkzUGMtSlU=.mp4,BILD TV,11,10,2022,Tuesday
562,a2dGQy1GbUpxaGM=.mp4,BILD TV,11,5,2023,Thursday
563,Z1JwdElvSjNjU0U=.mp4,BILD TV,8,3,2022,Tuesday
564,cFhlM2pHeDduUkE=.mp4,BILD TV,8,9,2022,Thursday
569,X09CWEJscERCSVE=.mp4,WELT,31,5,2022,Tuesday
573,OEJZUlNNWmlBa2s=.mp4,BILD TV,7,4,2022,Thursday
577,SFZaMXBiYVNGNkk=.mp4,BILD TV,28,4,2022,Thursday
